entity_id,nace_level_1_code,nace_level_1_name,nace_level_2_code,nace_level_2_name,revenue_pct
2739,C,Manufacturing,14,Manufacture of wearing apparel,1
3337,C,Manufacturing,14,Manufacture of wearing apparel,1
1529,C,Manufacturing,14,Manufacture of wearing apparel,1
2465,C,Manufacturing,14,Manufacture of wearing apparel,1
1248,C,Manufacturing,14,Manufacture of wearing apparel,0.065698023
1589,C,Manufacturing,15,Manufacture of leather and related products of other materials,1
4205,C,Manufacturing,15,Manufacture of leather and related products of other materials,0.662092883
1418,C,Manufacturing,15,Manufacture of leather and related products of other materials,1
1504,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1
46,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.928682768
910,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.82
2627,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1
1711,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.03030303
2165,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.476
2066,C,Manufacturing,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.029264609
1252,C,Manufacturing,17,Manufacture of paper and paper products,1
2416,C,Manufacturing,17,Manufacture of paper and paper products,0.5
1312,C,Manufacturing,17,Manufacture of paper and paper products,0.333333333
1478,C,Manufacturing,17,Manufacture of paper and paper products,1
1076,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
1314,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
3217,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
3489,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
3616,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
1925,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.06484936
1484,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
3169,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.422809972
1327,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
2365,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
1575,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.773468365
2416,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.5
3232,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.25
2744,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
3227,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.83
4098,C,Manufacturing,17,Manufacture of paper and paper products,1
3789,C,Manufacturing,17,Manufacture of paper and paper products,0.5
910,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.18
1268,G,Wholesale And Retail Trade,47,Retail trade,0.971761628
3723,G,Wholesale And Retail Trade,47,Retail trade,1
60,C,Manufacturing,17,Manufacture of paper and paper products,1
1277,C,Manufacturing,17,Manufacture of paper and paper products,1
2051,C,Manufacturing,17,Manufacture of paper and paper products,0.5
3542,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.648333401
1301,C,Manufacturing,18,Printing and reproduction of recorded media,1
4213,C,Manufacturing,18,Printing and reproduction of recorded media,1
2805,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.8059
107,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
3086,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.000318575
3148,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.3864
10282,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
2090,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.969387762
1511,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
1791,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.5
1722,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.101442741
4092,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.777810494
1055,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
4225,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
1644,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
2216,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
1213,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.8194
1276,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
102,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
3555,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
1078,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.666666667
1248,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.234012383
10727,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.121859929
1493,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.144902436
1170,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.62
3157,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.420139896
2215,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.571696932
1747,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
3114,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.333333333
90,C,Manufacturing,20,Manufacture of chemicals and chemical products,1
3540,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.355
1328,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
3769,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
1650,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.5
2090,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.030612238
10451,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
3785,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
3992,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
2876,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
3005,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
2645,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.333333333
1785,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
2209,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.920982736
1782,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
1618,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
3343,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
3086,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.999681425
3320,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.977514391
3389,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
10307,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.949026877
2977,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.265479983
1207,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
1142,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.5
1762,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.5
1722,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.898557259
1538,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
3232,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.25
10727,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.378140071
1332,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
2775,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
1213,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.1806
2067,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.58
3148,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.6136
1750,C,Manufacturing,22,Manufacture of rubber and plastic products,0.5
1302,C,Manufacturing,22,Manufacture of rubber and plastic products,0.255
3642,C,Manufacturing,22,Manufacture of rubber and plastic products,1
3564,C,Manufacturing,22,Manufacture of rubber and plastic products,0.5
1711,C,Manufacturing,22,Manufacture of rubber and plastic products,0.045454545
1363,C,Manufacturing,22,Manufacture of rubber and plastic products,0.5
1456,C,Manufacturing,27,Manufacture of electrical equipment,0.201333333
4192,G,Wholesale And Retail Trade,47,Retail trade,1
3345,C,Manufacturing,22,Manufacture of rubber and plastic products,0.98
3540,C,Manufacturing,22,Manufacture of rubber and plastic products,0.645
2901,C,Manufacturing,22,Manufacture of rubber and plastic products,1
3789,C,Manufacturing,22,Manufacture of rubber and plastic products,0.5
2865,C,Manufacturing,22,Manufacture of rubber and plastic products,1
2051,C,Manufacturing,22,Manufacture of rubber and plastic products,0.5
10234,C,Manufacturing,22,Manufacture of rubber and plastic products,0.210721868
3518,C,Manufacturing,22,Manufacture of rubber and plastic products,0.333333333
1777,C,Manufacturing,22,Manufacture of rubber and plastic products,1
1796,C,Manufacturing,22,Manufacture of rubber and plastic products,1
2121,C,Manufacturing,22,Manufacture of rubber and plastic products,0.5
1312,C,Manufacturing,22,Manufacture of rubber and plastic products,0.666666667
1710,C,Manufacturing,22,Manufacture of rubber and plastic products,0.333333333
10054,C,Manufacturing,23,Manufacture of other non-metallic mineral products,0.093900273
3916,C,Manufacturing,23,Manufacture of other non-metallic mineral products,0.957114626
2918,C,Manufacturing,23,Manufacture of other non-metallic mineral products,1
3606,C,Manufacturing,23,Manufacture of other non-metallic mineral products,0.95455
3053,G,Wholesale And Retail Trade,47,Retail trade,0.48230043
1226,G,Wholesale And Retail Trade,47,Retail trade,0.5
1281,G,Wholesale And Retail Trade,47,Retail trade,1
1245,C,Manufacturing,23,Manufacture of other non-metallic mineral products,1
4130,C,Manufacturing,23,Manufacture of other non-metallic mineral products,1
10234,C,Manufacturing,23,Manufacture of other non-metallic mineral products,0.146496815
3601,C,Manufacturing,23,Manufacture of other non-metallic mineral products,1
2066,C,Manufacturing,23,Manufacture of other non-metallic mineral products,0.118844205
2165,C,Manufacturing,23,Manufacture of other non-metallic mineral products,0.131
1843,C,Manufacturing,23,Manufacture of other non-metallic mineral products,0.145529472
3395,H,Transportation And Storage,49,Land transport and transport via pipelines,0.42498413
1182,C,Manufacturing,24,Manufacture of basic metals,0.11
1843,C,Manufacturing,24,Manufacture of basic metals,0.582812428
2084,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",0.0591
10234,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",0.210721868
2805,C,Manufacturing,24,Manufacture of basic metals,0.1941
1835,C,Manufacturing,24,Manufacture of basic metals,0.374060764
1926,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",1
2690,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",1
10054,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",0.47231729
2605,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",0.265000757
2066,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",0.366798829
2165,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",0.262
3342,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",0.905864827
3468,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",1
2897,C,Manufacturing,32,Other manufacturing,0.329960098
3606,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",0.04545
1205,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",1
1246,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",1
3518,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",0.333333333
2121,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",0.5
2605,C,Manufacturing,27,Manufacture of electrical equipment,0.734999243
3989,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",1
1334,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",0.140809915
3705,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",0.061115784
2684,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",0.419695982
2377,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",1
10801,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",0.333333333
1214,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",0.5
1283,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",0.059838934
10368,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",0.583549851
3595,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",1
2014,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",0.983361207
2215,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",0.428303068
2953,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",1
3551,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",1
1929,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",0.159907641
1863,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",1
10432,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",1
3256,D,"Electricity, Gas, Steam And Air Conditioning Supply",35,"Electricity, gas, steam and air conditioning supply",0.052370166
3683,C,Manufacturing,26,"Manufacture of computer, electronic and optical products",1
1198,C,Manufacturing,27,Manufacture of electrical equipment,1
2174,C,Manufacturing,27,Manufacture of electrical equipment,0.955675402
1268,C,Manufacturing,27,Manufacture of electrical equipment,0.004205881
1929,C,Manufacturing,27,Manufacture of electrical equipment,0.165449202
3114,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",0.333333333
1289,C,Manufacturing,27,Manufacture of electrical equipment,1
1493,C,Manufacturing,27,Manufacture of electrical equipment,0.782646346
1843,C,Manufacturing,27,Manufacture of electrical equipment,0.063064314
2084,C,Manufacturing,27,Manufacture of electrical equipment,0.3967
1264,C,Manufacturing,27,Manufacture of electrical equipment,0.5
3157,C,Manufacturing,27,Manufacture of electrical equipment,0.079860104
1242,C,Manufacturing,27,Manufacture of electrical equipment,0.851329887
2986,C,Manufacturing,27,Manufacture of electrical equipment,1
2098,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.023700459
1495,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,1
3546,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,1
3671,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.225551007
1367,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.013131
1415,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.335484407
2897,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.670039902
1929,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.177413938
3169,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",39,Remediation activities and other waste management service activities,0.030876011
2066,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.117184304
3342,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.094135173
1954,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,1
1229,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.188333333
2790,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",0.9151
10727,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",0.378140071
10234,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.210721868
1242,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.148670113
1975,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,1
10589,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,1
1272,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,1
1204,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.817
2951,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,1
1337,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.538689606
10233,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,1
1776,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.999736422
3542,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.27833326
1171,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",0.1061
1869,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",1
4051,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",0.999245744
1647,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",1
2030,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",0.848627661
10054,C,Manufacturing,32,Other manufacturing,0.216891219
1132,C,Manufacturing,32,Other manufacturing,1
1182,C,Manufacturing,32,Other manufacturing,0.36
1750,C,Manufacturing,32,Other manufacturing,0.5
1195,C,Manufacturing,32,Other manufacturing,0.091396068
1302,C,Manufacturing,32,Other manufacturing,0.745
1190,C,Manufacturing,32,Other manufacturing,0.31
3749,C,Manufacturing,32,Other manufacturing,0.005061711
3598,C,Manufacturing,32,Other manufacturing,1
1380,C,Manufacturing,32,Other manufacturing,1
3564,C,Manufacturing,32,Other manufacturing,0.5
1791,C,Manufacturing,32,Other manufacturing,0.5
1711,C,Manufacturing,32,Other manufacturing,0.924242424
1363,C,Manufacturing,32,Other manufacturing,0.5
2684,C,Manufacturing,32,Other manufacturing,0.21138586
1406,C,Manufacturing,32,Other manufacturing,1
2041,C,Manufacturing,32,Other manufacturing,0.164
2645,C,Manufacturing,32,Other manufacturing,0.333333333
4176,C,Manufacturing,32,Other manufacturing,1
4058,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",0.857870301
2098,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",0.952599081
1813,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",1
1401,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",1
1284,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",1
1415,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",0.664515593
2084,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",0.5442
1691,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",0.983787957
1274,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",1
1929,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",0.005982368
4205,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",0.173552473
2098,C,Manufacturing,30,Manufacture of other transport equipment,0.023700459
1182,C,Manufacturing,30,Manufacture of other transport equipment,0.53
1367,D,"Electricity, Gas, Steam And Air Conditioning Supply",35,"Electricity, gas, steam and air conditioning supply",0.012144596
3419,D,"Electricity, Gas, Steam And Air Conditioning Supply",35,"Electricity, gas, steam and air conditioning supply",0.4
2030,C,Manufacturing,30,Manufacture of other transport equipment,0.151372339
3647,C,Manufacturing,30,Manufacture of other transport equipment,1
1929,C,Manufacturing,30,Manufacture of other transport equipment,0.331339211
2774,C,Manufacturing,30,Manufacture of other transport equipment,0.800658345
1171,C,Manufacturing,30,Manufacture of other transport equipment,0.861266667
3036,C,Manufacturing,30,Manufacture of other transport equipment,0.183685446
2246,C,Manufacturing,30,Manufacture of other transport equipment,1
4109,C,Manufacturing,31,Manufacture of furniture,0.315350395
1264,C,Manufacturing,31,Manufacture of furniture,0.5
1226,C,Manufacturing,32,Other manufacturing,0.5
3295,D,"Electricity, Gas, Steam And Air Conditioning Supply",35,"Electricity, gas, steam and air conditioning supply",1
1676,C,Manufacturing,32,Other manufacturing,1
2426,C,Manufacturing,32,Other manufacturing,1
4215,C,Manufacturing,32,Other manufacturing,0.94
10764,C,Manufacturing,32,Other manufacturing,0.612154381
2149,C,Manufacturing,32,Other manufacturing,1
2601,C,Manufacturing,32,Other manufacturing,1
1575,C,Manufacturing,32,Other manufacturing,0.226531635
1060,D,"Electricity, Gas, Steam And Air Conditioning Supply",35,"Electricity, gas, steam and air conditioning supply",0.265734104
3035,D,"Electricity, Gas, Steam And Air Conditioning Supply",35,"Electricity, gas, steam and air conditioning supply",0.333333333
2193,D,"Electricity, Gas, Steam And Air Conditioning Supply",35,"Electricity, gas, steam and air conditioning supply",1
3542,D,"Electricity, Gas, Steam And Air Conditioning Supply",35,"Electricity, gas, steam and air conditioning supply",0.073333339
1170,C,Manufacturing,32,Other manufacturing,0.19
1929,C,Manufacturing,32,Other manufacturing,0.159907641
4082,C,Manufacturing,33,"Repair, maintenance and installation of machinery and equipment",1
1275,C,Manufacturing,33,"Repair, maintenance and installation of machinery and equipment",0.116818558
1204,C,Manufacturing,33,"Repair, maintenance and installation of machinery and equipment",0.183
1799,D,"Electricity, Gas, Steam And Air Conditioning Supply",35,"Electricity, gas, steam and air conditioning supply",1
2174,C,Manufacturing,33,"Repair, maintenance and installation of machinery and equipment",0.044324598
1973,C,Manufacturing,33,"Repair, maintenance and installation of machinery and equipment",0.333333333
2210,C,Manufacturing,33,"Repair, maintenance and installation of machinery and equipment",1
2774,C,Manufacturing,33,"Repair, maintenance and installation of machinery and equipment",0.099670828
1776,C,Manufacturing,33,"Repair, maintenance and installation of machinery and equipment",0.000263578
1337,C,Manufacturing,33,"Repair, maintenance and installation of machinery and equipment",0.461310394
3669,D,"Electricity, Gas, Steam And Air Conditioning Supply",35,"Electricity, gas, steam and air conditioning supply",0.425389002
3535,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",37,Sewerage,0.230110159
3850,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",37,Sewerage,0.065
10204,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",37,Sewerage,0.288861689
1318,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",1
1798,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.13
1367,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.974724405
1609,G,Wholesale And Retail Trade,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,1
1744,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.97465
10234,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.11066879
1366,F,Construction,41,Construction of residential and non-residential buildings,1
3850,F,Construction,41,Construction of residential and non-residential buildings,0.165
4075,F,Construction,41,Construction of residential and non-residential buildings,0.107647086
46,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.049273762
1457,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.883
3345,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",38,"Waste collection, recovery and disposal activities",0.02
1457,E,"Water Supply; Sewerage, Waste Management And Remediation Activities",39,Remediation activities and other waste management service activities,0.117
1203,F,Construction,41,Construction of residential and non-residential buildings,1
3535,F,Construction,42,Civil engineering,0.769889841
2041,F,Construction,42,Civil engineering,0.164
2380,F,Construction,42,Civil engineering,0.168258834
2132,F,Construction,42,Civil engineering,0.870517928
4155,F,Construction,42,Civil engineering,0.052075376
10204,F,Construction,42,Civil engineering,0.5
3850,F,Construction,42,Civil engineering,0.77
3498,F,Construction,42,Civil engineering,1
4146,F,Construction,42,Civil engineering,0.8
1835,F,Construction,42,Civil engineering,0.076118915
2708,F,Construction,42,Civil engineering,0.5
3429,F,Construction,43,Specialised construction activities,1
3256,F,Construction,43,Specialised construction activities,0.947629834
4155,F,Construction,43,Specialised construction activities,0.318309142
4146,F,Construction,43,Specialised construction activities,0.2
10699,F,Construction,43,Specialised construction activities,0.255
1958,F,Construction,43,Specialised construction activities,0.123502229
1060,F,Construction,43,Specialised construction activities,0.734265896
1229,F,Construction,43,Specialised construction activities,0.811666667
1710,F,Construction,43,Specialised construction activities,0.333333333
1835,F,Construction,43,Specialised construction activities,0.54982032
2581,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",1
1181,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",1
1535,G,Wholesale And Retail Trade,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,0.373
3311,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",0.5
2279,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",0.081426909
