entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,revenue_log,activity_type,activity_code,env_score_adjustment,env_score_adjustment_capped,nace_level_1_code,nace_level_1_name,nace_level_2_code,nace_level_2_name,revenue_pct,sdg_id,sdg_name,sdg_confidence
106,WEU,Western Europe,DE,Germany,426258000.0,2.162,1.95,2.375,2.286,2223.0,131.0,19.87055535706032,Other,ENVIB010,-0.1,-0.1,J,Information and communication,63,Information service activities,0.5,9.0,"Industry, Innovation and Infrastructure",
106,WEU,Western Europe,DE,Germany,426258000.0,2.162,1.95,2.375,2.286,2223.0,131.0,19.87055535706032,Other,ENVIB010,-0.1,-0.1,J,Information and communication,61,Telecommunications,0.5,9.0,"Industry, Innovation and Infrastructure",
106,WEU,Western Europe,DE,Germany,426258000.0,2.162,1.95,2.375,2.286,2223.0,131.0,19.87055535706032,Operation,MTH001,-0.5,-0.5,J,Information and communication,63,Information service activities,0.5,9.0,"Industry, Innovation and Infrastructure",
972,WEU,Western Europe,IT,Italy,16300000000.0,2.218,2.407,2.056,2.071,104418.0,232269.0,23.51443094482048,,,,,J,Information and communication,61,Telecommunications,0.727491667,7.0,Affordable and Clean Energy,
972,WEU,Western Europe,IT,Italy,16300000000.0,2.218,2.407,2.056,2.071,104418.0,232269.0,23.51443094482048,,,,,J,Information and communication,61,Telecommunications,0.727491667,9.0,"Industry, Innovation and Infrastructure",
972,WEU,Western Europe,IT,Italy,16300000000.0,2.218,2.407,2.056,2.071,104418.0,232269.0,23.51443094482048,,,,,J,Information and communication,63,Information service activities,0.272508333,7.0,Affordable and Clean Energy,
972,WEU,Western Europe,IT,Italy,16300000000.0,2.218,2.407,2.056,2.071,104418.0,232269.0,23.51443094482048,,,,,J,Information and communication,63,Information service activities,0.272508333,9.0,"Industry, Innovation and Infrastructure",
999,WEU,Western Europe,NL,Netherlands,4110000000.0,1.987,2.12,2.014,1.714,3684.0,204.0,22.136688865697863,Operation,MTH001,-0.25,-0.25,J,Information and communication,61,Telecommunications,1.0,16.0,"Peace, Justice and Strong Institutions",
999,WEU,Western Europe,NL,Netherlands,4110000000.0,1.987,2.12,2.014,1.714,3684.0,204.0,22.136688865697863,Operation,MTH001,-0.25,-0.25,J,Information and communication,61,Telecommunications,1.0,9.0,"Industry, Innovation and Infrastructure",
1054,WEU,Western Europe,FR,France,1250000000.0,2.885,3.46,1.984,2.929,1375.0,2510.0,20.94640938906062,Operation,X.XX.3.B,-0.25,-0.25,P,Public Administration And Defence; Compulsory Social Security,85,Education,1.0,4.0,Quality Education,
1055,WEU,Western Europe,LU,Luxembourg,1704800000.0,3.133,3.8,2.8,2.333,63214.0,56730.0,21.25671363933526,Other,ENVIB010,-0.1,-0.1,C,Manufacturing,20,Manufacture of chemicals and chemical products,1.0,3.0,Good Health and Wellbeing,0.7781034190618625
1060,WEU,Western Europe,FR,France,563108000.0,2.769,2.798,2.434,3.119,16227.0,163.0,20.1489819989678,Disposal ,C.25.06.P,0.060046918,0.060046918,F,Construction,43,Specialised construction activities,0.734265896,7.0,Affordable and Clean Energy,
1060,WEU,Western Europe,FR,France,563108000.0,2.769,2.798,2.434,3.119,16227.0,163.0,20.1489819989678,Disposal ,C.25.06.P,0.060046918,0.060046918,D,"Electricity, Gas, Steam And Air Conditioning Supply",35,"Electricity, gas, steam and air conditioning supply",0.265734104,7.0,Affordable and Clean Energy,
1063,WEU,Western Europe,PT,Portugal,5142600000.0,2.727,2.54,2.203,3.69,31861.0,74807.0,22.36082462529162,,,,,J,Information and communication,61,Telecommunications,1.0,9.0,"Industry, Innovation and Infrastructure",
1064,WEU,Western Europe,FR,France,715000000.0,3.177,3.742,2.617,2.833,12698.0,1814.0,20.38779310205688,Farming,A.1.3.B,-0.25,-0.25,C,Manufacturing,10,Manufacture of food products,1.0,2.0,Zero Hunger,
1074,WEU,Western Europe,FR,France,1283277000.0,3.37,3.9,3.3,2.5,13537.81,5076.68,20.97268280028989,Operation,G.47.4.B,-0.1,-0.1,C,Manufacturing,10,Manufacture of food products,1.0,3.0,Good Health and Wellbeing,0.7941532834863873
1077,WEU,Western Europe,FR,France,1406689000.0,3.077,3.29,3.12,2.643,3008.0,3062.0,21.064504553688327,Transportation,M.70.4.P,0.1,0.1,M,"Professional, scientific and technical activities",74,"Other professional, scientific and technical activities",0.5,12.0,Responsible Consumption and Production,0.6300357212050579
1077,WEU,Western Europe,FR,France,1406689000.0,3.077,3.29,3.12,2.643,3008.0,3062.0,21.064504553688327,Transportation,M.70.4.P,0.1,0.1,M,"Professional, scientific and technical activities",72,Scientific research and development,0.5,12.0,Responsible Consumption and Production,0.6300357212050579
1078,NAM,Northern America,US,United States of America,6120000000.0,3.068,3.8,3.039,1.786,8825.0,1597.0,22.534827933634045,Operation,MTH002,-0.1,-0.1,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.666666667,3.0,Good Health and Wellbeing,1.0
1078,NAM,Northern America,US,United States of America,6120000000.0,3.068,3.8,3.039,1.786,8825.0,1597.0,22.534827933634045,Operation,MTH002,-0.1,-0.1,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",0.333333333,8.0,Decent Work and Economic Growth,0.804322460396019
1078,NAM,Northern America,US,United States of America,6120000000.0,3.068,3.8,3.039,1.786,8825.0,1597.0,22.534827933634045,Manufacturing,C.32.3.B,-0.3,-0.3,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.666666667,3.0,Good Health and Wellbeing,1.0
1078,NAM,Northern America,US,United States of America,6120000000.0,3.068,3.8,3.039,1.786,8825.0,1597.0,22.534827933634045,Manufacturing,C.32.3.B,-0.3,-0.3,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",0.333333333,9.0,"Industry, Innovation and Infrastructure",0.39823673354152
1079,WEU,Western Europe,LU,Luxembourg,715000000.0,3.083,3.25,3.0,2.881,2203.0,2288.0,20.38779310205688,,,,,K,Financial and insurance activities,66,Activities auxiliary to financial services and insurance activities,1.0,3.0,Good Health and Wellbeing,0.45210876191977034
1091,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2350200000.0,3.07,3.653,2.711,2.452,242.4,1726.0,21.57776626828961,,,,,K,Financial and insurance activities,66,Activities auxiliary to financial services and insurance activities,1.0,3.0,Good Health and Wellbeing,0.6572549169650715
1129,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1041090000.0,3.119,3.714,1.988,3.405,11057.0,14914.0,20.76353407913414,,,,,P,Public Administration And Defence; Compulsory Social Security,85,Education,1.0,4.0,Quality Education,
1131,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,5100000000.0,3.482,3.071,5.0,2.4,7455.0,14923.0,22.35250637687277,,,,,R,Human Health And Social Work Activities,92,Gambling and betting activities,1.0,3.0,Good Health and Wellbeing,0.6159289895123373
1132,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1115200000.0,3.244,3.913,3.0,2.333,173229.0,57301.0,20.83229959886724,Raw materials,C.32.41.B,-0.087032617,-0.087032617,C,Manufacturing,32,Other manufacturing,1.0,12.0,Responsible Consumption and Production,0.42517112552112485
1140,WEU,Western Europe,NL,Netherlands,417000000.0,2.776,2.793,3.0,2.476,78.0,126.0,19.84859678216116,Operation,J.58.101.B,-0.25,-0.25,J,Information and communication,58,Publishing activities,1.0,9.0,"Industry, Innovation and Infrastructure",0.6519258990795169
1142,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,716484000.0,2.943,3.761,2.383,2.143,6347.0,3709.0,20.389866475604272,Operation,MTH002,-0.138696255,-0.138696255,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.5,3.0,Good Health and Wellbeing,
1142,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,716484000.0,2.943,3.761,2.383,2.143,6347.0,3709.0,20.389866475604272,Manufacturing,C.21.9.B,-0.138696255,-0.138696255,M,"Professional, scientific and technical activities",72,Scientific research and development,0.5,3.0,Good Health and Wellbeing,
1142,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,716484000.0,2.943,3.761,2.383,2.143,6347.0,3709.0,20.389866475604272,Manufacturing,C.21.9.B,-0.138696255,-0.138696255,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.5,3.0,Good Health and Wellbeing,
1142,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,716484000.0,2.943,3.761,2.383,2.143,6347.0,3709.0,20.389866475604272,Operation,MTH002,-0.138696255,-0.138696255,M,"Professional, scientific and technical activities",72,Scientific research and development,0.5,3.0,Good Health and Wellbeing,
1157,WEU,Western Europe,DK,Denmark,7780000000.0,3.185,3.65,2.9,2.69,74384.0,19399.0,22.77482217526525,,,,,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",1.0,9.0,"Industry, Innovation and Infrastructure",0.3976802842953761
1160,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,754600000.0,2.729,3.0,2.988,1.929,1293.0,1005.0,20.44169836681969,,,,,M,"Professional, scientific and technical activities",73,"Activities of advertising, market research and public relations",0.885104691,3.0,Good Health and Wellbeing,0.647248838251203
1160,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,754600000.0,2.729,3.0,2.988,1.929,1293.0,1005.0,20.44169836681969,,,,,J,Information and communication,62,"Computer programming, consultancy and related activities",0.114895309,9.0,"Industry, Innovation and Infrastructure",0.6169398497225822
1162,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1123600000.0,2.857,3.2,2.4,2.786,205.9,3932.5,20.83980365408436,Operation,J.58.20.P,0.1,0.1,J,Information and communication,62,"Computer programming, consultancy and related activities",1.0,16.0,"Peace, Justice and Strong Institutions",0.4264770799615733
1170,NAM,Northern America,CA,Canada,2664900000.0,3.213,3.913,2.977,2.238,22879.0,910.0,21.70343237078329,,,,,C,Manufacturing,32,Other manufacturing,0.19,3.0,Good Health and Wellbeing,0.8275329582061139
1170,NAM,Northern America,CA,Canada,2664900000.0,3.213,3.913,2.977,2.238,22879.0,910.0,21.70343237078329,,,,,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.62,3.0,Good Health and Wellbeing,0.8275329582061139
1170,NAM,Northern America,CA,Canada,2664900000.0,3.213,3.913,2.977,2.238,22879.0,910.0,21.70343237078329,,,,,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",0.19,7.0,Affordable and Clean Energy,0.20345480425103538
1171,WEU,Western Europe,ES,Spain,951029000.0,3.892,4.823,3.894,2.214,9866.0,21117.0,20.67305511531283,,,,,C,Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",0.1061,3.0,Good Health and Wellbeing,0.8013198279797764
1171,WEU,Western Europe,ES,Spain,951029000.0,3.892,4.823,3.894,2.214,9866.0,21117.0,20.67305511531283,,,,,C,Manufacturing,30,Manufacture of other transport equipment,0.861266667,3.0,Good Health and Wellbeing,0.8013198279797764
1171,WEU,Western Europe,ES,Spain,951029000.0,3.892,4.823,3.894,2.214,9866.0,21117.0,20.67305511531283,,,,,M,"Professional, scientific and technical activities",72,Scientific research and development,0.032633333,3.0,Good Health and Wellbeing,0.7973436427439352
1179,WEU,Western Europe,ES,Spain,421000000.0,3.252,3.52,2.88,3.214,21074.42,34687.78,19.85814339402195,Other,ENVIB010,-0.2,-0.2,C,Manufacturing,10,Manufacture of food products,1.0,3.0,Good Health and Wellbeing,1.0
1181,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,3050000000.0,2.853,3.387,2.882,1.857,18199.0,4680.0,21.8384074278936,,,,,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",1.0,9.0,"Industry, Innovation and Infrastructure",0.400756091896274
1182,WEU,Western Europe,FR,France,1210000000.0,2.703,3.103,2.47,2.262,14193.0,30353.0,20.91388619738151,End-use,F.42.12.P,0.1325,0.1325,C,Manufacturing,30,Manufacture of other transport equipment,0.53,9.0,"Industry, Innovation and Infrastructure",
1182,WEU,Western Europe,FR,France,1210000000.0,2.703,3.103,2.47,2.262,14193.0,30353.0,20.91388619738151,End-use,F.42.12.P,0.1325,0.1325,C,Manufacturing,24,Manufacture of basic metals,0.11,11.0,Sustainable Cities and Communities,
1182,WEU,Western Europe,FR,France,1210000000.0,2.703,3.103,2.47,2.262,14193.0,30353.0,20.91388619738151,End-use,F.42.12.P,0.1325,0.1325,C,Manufacturing,32,Other manufacturing,0.36,11.0,Sustainable Cities and Communities,
1182,WEU,Western Europe,FR,France,1210000000.0,2.703,3.103,2.47,2.262,14193.0,30353.0,20.91388619738151,End-use,F.42.12.P,0.1325,0.1325,C,Manufacturing,24,Manufacture of basic metals,0.11,9.0,"Industry, Innovation and Infrastructure",
1182,WEU,Western Europe,FR,France,1210000000.0,2.703,3.103,2.47,2.262,14193.0,30353.0,20.91388619738151,End-use,F.42.12.P,0.1325,0.1325,C,Manufacturing,32,Other manufacturing,0.36,9.0,"Industry, Innovation and Infrastructure",
1182,WEU,Western Europe,FR,France,1210000000.0,2.703,3.103,2.47,2.262,14193.0,30353.0,20.91388619738151,End-use,F.42.12.P,0.1325,0.1325,C,Manufacturing,30,Manufacture of other transport equipment,0.53,11.0,Sustainable Cities and Communities,
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.77058483157785,Disposal ,C.28.40.P,0.031,0.031,N,"Professional, Scientific And Technical Activities",77,Rental and leasing activities,0.69,12.0,Responsible Consumption and Production,
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.77058483157785,Manufacturing,C.28.56.P,0.031,0.031,N,"Professional, Scientific And Technical Activities",77,Rental and leasing activities,0.69,12.0,Responsible Consumption and Production,
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.77058483157785,Manufacturing,C.28.33.P,0.019,0.019,N,"Professional, Scientific And Technical Activities",77,Rental and leasing activities,0.69,12.0,Responsible Consumption and Production,
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.77058483157785,Manufacturing,C.27.61.P,0.031,0.031,N,"Professional, Scientific And Technical Activities",77,Rental and leasing activities,0.69,12.0,Responsible Consumption and Production,
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.77058483157785,Raw materials,C.28.94.P,0.0475,0.0475,N,"Professional, Scientific And Technical Activities",77,Rental and leasing activities,0.69,12.0,Responsible Consumption and Production,
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.77058483157785,Raw materials,C.28.94.P,0.0475,0.0475,C,Manufacturing,32,Other manufacturing,0.31,12.0,Responsible Consumption and Production,
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.77058483157785,Disposal ,C.28.40.P,0.031,0.031,C,Manufacturing,32,Other manufacturing,0.31,12.0,Responsible Consumption and Production,
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.77058483157785,Manufacturing,C.27.61.P,0.031,0.031,C,Manufacturing,32,Other manufacturing,0.31,12.0,Responsible Consumption and Production,
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.77058483157785,Manufacturing,C.28.56.P,0.031,0.031,C,Manufacturing,32,Other manufacturing,0.31,12.0,Responsible Consumption and Production,
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.77058483157785,Raw materials,C.27.78.P,0.1725,0.1725,N,"Professional, Scientific And Technical Activities",77,Rental and leasing activities,0.69,12.0,Responsible Consumption and Production,
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.77058483157785,Raw materials,C.27.78.P,0.1725,0.1725,C,Manufacturing,32,Other manufacturing,0.31,12.0,Responsible Consumption and Production,
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.77058483157785,Manufacturing,C.28.33.P,0.019,0.019,C,Manufacturing,32,Other manufacturing,0.31,12.0,Responsible Consumption and Production,
