entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,revenue_log
3954,NAM,Northern America,US,United States of America,2983781000.0,2.573,3.1,2.678,1.5,120.0,130.0,21.816457125508876
106,WEU,Western Europe,DE,Germany,426258000.0,2.162,1.95,2.375,2.286,2223.0,131.0,19.870555357060322
10600,NAM,Northern America,US,United States of America,775586000.0,2.865,3.25,3.008,2.0,131.2,145.8,20.46912943191769
1794,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,458900000.0,3.15,3.105,2.966,3.452,89.58,154.55,19.944342881544188
1807,WEU,Western Europe,NL,Netherlands,2272329000.0,2.347,2.598,2.0,2.31,2071.0,160.0,21.544071134099994
1060,WEU,Western Europe,FR,France,563108000.0,2.769,2.798,2.434,3.119,16227.0,163.0,20.148981998967802
10477,NAM,Northern America,US,United States of America,2730000000.0,3.016,2.988,2.95,3.143,424.0,166.0,21.72756744650958
1268,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,5121400000.0,3.851,4.941,3.024,2.881,1051.0,180.0,22.356693676315867
3539,WEU,Western Europe,DE,Germany,1847100000.0,2.4,2.994,1.9,1.929,2009.0,187.0,21.336882679090937
1383,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1015900000.0,3.062,3.492,2.744,2.667,5640.0,199.0,20.739040757046123
1588,WEU,Western Europe,ES,Spain,211200000.0,3.524,3.9,3.0,3.476,734.0,202.0,19.16831611453123
999,WEU,Western Europe,NL,Netherlands,4110000000.0,1.987,2.12,2.014,1.714,3684.0,204.0,22.136688865697863
3535,WEU,Western Europe,BE,Belgium,817500000.0,3.091,3.421,2.572,3.119,40732.0,215.0,20.521761461958924
1467,WEU,Western Europe,ES,Spain,462000000.0,3.359,3.594,3.086,3.262,49.0,226.0,19.951075451210514
1320,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,387691000.0,3.237,3.893,3.027,2.31,290.5,231.3,19.775719191125965
3850,WEU,Western Europe,SE,Sweden,16400000000.0,2.665,3.102,2.205,2.429,20943.0,257.0,23.52054717183754
1249,WEU,Western Europe,LU,Luxembourg,515654000.0,3.439,3.734,3.461,2.881,1720.0,273.0,20.0609465578352
3992,WEU,Western Europe,IT,Italy,266100000.0,2.907,4.0,1.906,2.143,679.44,306.87,19.399382739705903
2285,WEU,Western Europe,FR,France,2500000000.0,2.949,3.058,2.92,2.786,6231.0,317.0,21.639556569220566
3312,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,995153000.0,2.937,3.15,3.0,2.476,172.0,355.0,20.71840705315074
1443,WEU,Western Europe,IT,Italy,435361000.0,2.861,3.0,2.953,2.5,666.0,369.0,19.89168613224317
4233,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1040000000.0,2.477,2.442,2.889,2.048,210.0,371.0,20.76248655106123
10204,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,610600000.0,2.441,3.017,2.042,1.881,22931.48,380.51,20.229952639902784
3673,WEU,Western Europe,CH,Switzerland,422300000.0,2.956,3.218,3.0,2.429,883.0,400.0,19.86122652227216
1242,WEU,Western Europe,IT,Italy,440714000.0,3.042,3.53,3.0,2.214,1962.0,400.0,19.903906699219068
2365,WEU,Western Europe,FR,France,872000000.0,3.339,4.0,2.769,2.833,1144.0,421.0,20.586299983020044
2944,NAM,Northern America,US,United States of America,583000000.0,2.851,3.0,2.9,2.524,92.0,432.0,20.18369774603003
3668,WEU,Western Europe,SE,Sweden,16900000000.0,3.031,3.805,2.907,1.786,54334.0,443.0,23.55057945893461
87,WEU,Western Europe,IT,Italy,568178000.0,2.726,3.0,2.677,2.286,2440.0,447.22,20.15794530963378
4061,NAM,Northern America,US,United States of America,2420000000.0,3.274,4.084,3.0,2.143,425.0,448.0,21.60703337752823
1295,WEU,Western Europe,IT,Italy,419900000.0,2.476,3.102,1.754,2.214,405.0,462.0,19.85552714803594
2677,NAM,Northern America,CA,Canada,843323000.0,2.912,3.2,3.0,2.286,8.0,482.0,20.55286059916402
10372,WEU,Western Europe,DE,Germany,571300000.0,3.264,3.469,3.0,3.214,1210.0,529.0,20.163425025445086
3429,WEU,Western Europe,SE,Sweden,14800000000.0,2.479,2.62,2.607,2.071,10617.0,558.0,23.41789301778405
2951,NAM,Northern America,US,United States of America,1576551000.0,1.803,1.0,3.0,1.81,375.0,574.0,21.178505387203153
3546,WEU,Western Europe,NL,Netherlands,669369000.0,1.939,1.0,3.0,2.357,735.0,581.0,20.321846037034625
1757,NAM,Northern America,US,United States of America,4183800000.0,2.902,3.086,2.9,2.571,254.0,584.0,22.15448576165831
10589,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,20215000.0,3.446,3.876,2.915,3.31,570.2,598.2,16.821935510525226
4051,NAM,Northern America,US,United States of America,1583900000.0,3.568,4.897,3.0,1.857,8574.81,599.49,21.183155997664002
1784,WEU,Western Europe,BE,Belgium,506778000.0,2.651,3.213,1.833,2.619,484.0,610.0,20.04358359781324
3048,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2955207000.0,3.13,3.25,2.8,3.31,17835.0,628.0,21.80683453645084
3179,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,693000000.0,3.134,3.633,2.992,2.405,81.0,636.0,20.356540558597178
10233,WEU,Western Europe,IT,Italy,642500000.0,3.329,3.75,3.27,2.643,1344.0,690.0,20.280877376290068
2193,NAM,Northern America,US,United States of America,3010000000.0,3.526,4.739,3.0,1.976,14499.0,780.0,21.825205916039423
3289,WEU,Western Europe,NL,Netherlands,578600000.0,2.827,3.144,2.981,2.071,1969.17,784.22,20.17612195223462
3498,WEU,Western Europe,SE,Sweden,10300000000.0,2.817,3.262,2.394,2.524,38927.0,853.0,23.055409732279088
2292,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,773000000.0,3.002,3.051,2.987,2.933,874.0,895.0,20.465789607845355
10432,WEU,Western Europe,SE,Sweden,4006800000.0,3.255,3.5,3.0,3.119,97.0,909.0,22.111258754951457
1170,NAM,Northern America,CA,Canada,2664900000.0,3.213,3.913,2.977,2.238,22879.0,910.0,21.703432370783286
2545,WEU,Western Europe,SE,Sweden,567000000.0,3.903,4.9,3.0,3.19,62.86,942.93,20.155869863455695
1368,WEU,Western Europe,IT,Italy,502076000.0,2.953,3.136,2.86,2.738,1036.8,948.05,20.034262062611067
1160,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,754600000.0,2.729,3.0,2.988,1.929,1293.0,1005.0,20.44169836681969
4146,WEU,Western Europe,NL,Netherlands,1070000000.0,3.245,3.741,2.607,3.119,19413.0,1066.0,20.790924486354804
3114,NAM,Northern America,US,United States of America,965617000.0,2.895,2.75,3.125,2.881,27859.0,1082.0,20.688277834262028
3102,NAM,Northern America,US,United States of America,555124000.0,2.403,2.884,1.9,2.143,291.0,1086.0,20.134702071980236
3985,WEU,Western Europe,DK,Denmark,14500000000.0,2.17,2.491,2.286,1.452,1057.0,1112.0,23.397414486441907
10045,WEU,Western Europe,LU,Luxembourg,759000000.0,3.022,3.65,2.0,3.119,134.8,1142.8,20.447512336677427
1925,NAM,Northern America,US,United States of America,1318471000.0,2.948,3.097,3.0,2.619,358.0,1166.0,20.999738569583247
3115,NAM,Northern America,US,United States of America,860205000.0,2.794,3.2,3.0,1.814,294.0,1178.0,20.57268129206125
3555,NAM,Northern America,US,United States of America,1020000000.0,3.531,4.373,3.267,2.333,1471.12,1204.88,20.743068465222983
1637,WEU,Western Europe,FR,France,1160000000.0,2.97,3.0,3.0,2.881,3389.0,1220.0,20.87168584292675
1366,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2611800000.0,2.39,2.32,2.938,1.857,37827.0,1250.0,21.68330547613346
10314,WEU,Western Europe,DE,Germany,1018100000.0,2.961,3.013,2.992,2.833,2295.0,1303.0,20.741203983059645
1476,WEU,Western Europe,DE,Germany,1230000000.0,3.254,3.55,3.0,3.024,1500.0,1324.0,20.930280007143747
1226,WEU,Western Europe,CH,Switzerland,828744000.0,3.128,3.6,3.1,2.31,441.0,1357.0,20.535421860825778
2589,NAM,Northern America,US,United States of America,852427000.0,3.067,3.047,3.15,3.005,87.79,1375.38,20.563598134130032
3705,WEU,Western Europe,BE,Belgium,2854600000.0,2.252,2.265,2.267,2.214,8072.0,1389.0,21.772197565510254
98,WEU,Western Europe,DE,Germany,616338000.0,3.376,3.821,3.0,3.024,4709.6,1410.4,20.239306073937467
4215,WEU,Western Europe,NL,Netherlands,417000000.0,2.913,3.327,2.0,3.262,1560.0,1428.0,19.848596782161156
3942,NAM,Northern America,US,United States of America,849300000.0,3.084,3.093,3.0,3.167,329.0,1476.0,20.55992303992768
2265,WEU,Western Europe,FR,France,573000000.0,3.071,3.638,2.419,2.833,987.0,1476.0,20.166396276424216
3936,WEU,Western Europe,NL,Netherlands,468000000.0,2.872,2.93,2.855,2.786,10900.0,1477.0,19.963978856018674
3160,WEU,Western Europe,FR,France,1600000000.0,2.903,3.675,2.0,2.595,23843.0,1535.0,21.193269466817146
2807,WEU,Western Europe,MT,Malta,435800000.0,4.006,4.699,3.309,3.595,84709.0,1537.0,19.892693982769423
1358,WEU,Western Europe,DE,Germany,1058223000.0,2.317,2.182,2.783,2.0,141933.0,1558.0,20.779856924164818
1078,NAM,Northern America,US,United States of America,6120000000.0,3.068,3.8,3.039,1.786,8825.0,1597.0,22.534827933634045
1785,WEU,Western Europe,SE,Sweden,827000000.0,3.01,4.0,1.95,2.5,22773.0,1600.0,20.533315254197156
2132,WEU,Western Europe,FR,France,932923000.0,3.565,4.25,2.945,3.119,28423.0,1601.0,20.65383322700296
1655,WEU,Western Europe,LU,Luxembourg,504771299.0,2.559,2.891,2.189,2.405,348.0,1608.0,20.039616013375333
1425,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1706700000.0,3.382,3.351,4.818,1.714,2743.0,1630.0,21.25782751897491
4188,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1216795000.0,2.821,3.565,2.43,1.952,79.0,1663.0,20.91948619058402
1332,WEU,Western Europe,IT,Italy,2341600000.0,2.682,3.9,1.661,1.714,37280.0,1714.0,21.574100293769007
3410,WEU,Western Europe,NL,Netherlands,2400000000.0,3.504,4.0,3.059,3.143,4815.7,1714.3,21.59873457471698
1091,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2350200000.0,3.07,3.653,2.711,2.452,242.4,1726.0,21.57776626828961
2575,WEU,Western Europe,DE,Germany,248316000.0,2.979,3.1,2.917,2.833,524.0,1726.0,19.33021269060909
1866,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,9446500000.0,2.847,3.097,3.0,2.214,16309.0,1741.0,22.968910139583507
3389,WEU,Western Europe,DE,Germany,412000000.0,2.98,3.9,1.8,2.738,1655.0,1757.0,19.836533909740986
3785,WEU,Western Europe,FR,France,599700000.0,3.028,4.0,1.75,2.81,1655.64,1757.36,20.211940089806237
1504,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1402367000.0,3.156,3.744,3.0,2.286,31283.0,1758.0,21.061427360917957
2254,WEU,Western Europe,LU,Luxembourg,557000000.0,2.908,2.937,2.926,2.833,556.0,1783.0,20.13807579968689
1064,WEU,Western Europe,FR,France,715000000.0,3.177,3.742,2.617,2.833,12698.0,1814.0,20.387793102056882
1375,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1529800000.0,3.522,3.775,3.598,2.976,8391.0,1823.0,21.14840284550572
1264,WEU,Western Europe,IT,Italy,787770000.0,3.043,3.4,3.0,2.452,4485.4,1840.6,20.484716728314247
1672,WEU,Western Europe,SE,Sweden,49800000000.0,2.789,3.25,2.596,2.19,4200.0,1852.0,24.631280820997098
3311,WEU,Western Europe,NL,Netherlands,4950000000.0,2.85,3.35,2.65,2.19,35400.0,1880.0,22.32265341372903
3573,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2240600000.0,2.848,3.287,2.938,1.952,5919.0,1945.0,21.530009524535206
3647,WEU,Western Europe,ES,Spain,1310000000.0,3.853,4.9,3.25,2.69,7867.0,1949.0,20.99329297492283
3753,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,51219000.0,3.224,3.699,2.974,2.667,82.0,1959.0,17.751621134445486
3086,NAM,Northern America,US,United States of America,288945000.0,2.77,4.0,1.922,1.571,1548.82,1992.79,19.48174692000737
1316,WEU,Western Europe,IT,Italy,1651017000.0,3.384,3.441,4.75,1.643,5020.0,2142.0,21.2246572992269
1696,WEU,Western Europe,FI,Finland,2063500000.0,2.651,3.543,1.975,1.857,2096.0,2143.0,21.447669407641524
3042,WEU,Western Europe,FR,France,1950000000.0,2.933,3.503,2.0,3.024,2682.0,2164.0,21.391095210034887
4155,WEU,Western Europe,DE,Germany,3610000000.0,2.922,3.015,2.858,2.833,30240.0,2205.0,22.00697360956821
2709,NAM,Northern America,US,United States of America,1126816000.0,2.577,3.0,2.9,1.429,1219.0,2226.0,20.842661794256152
1564,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,581000000.0,2.822,3.0,3.0,2.286,426.0,2280.0,20.180261316537354
1079,WEU,Western Europe,LU,Luxembourg,715000000.0,3.083,3.25,3.0,2.881,2203.0,2288.0,20.387793102056882
1776,WEU,Western Europe,NO,Norway,645700000.0,3.017,3.509,3.006,2.143,180.1,2298.2,20.285845559145404
1437,WEU,Western Europe,SE,Sweden,19900000000.0,3.032,3.643,3.034,1.929,37.0,2299.0,23.71398556872711
1926,WEU,Western Europe,FR,France,569700000.0,2.96,3.084,3.0,2.69,7166.0,2386.0,20.160620466205934
10286,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2120000000.0,2.928,3.269,3.011,2.214,16912.0,2388.0,21.47468192610203
3438,NAM,Northern America,US,United States of America,1680000000.0,2.861,2.905,2.837,2.81,804.0,2456.0,21.242059630956817
1553,WEU,Western Europe,GI,Gibraltar,1754500000.0,3.507,3.072,5.0,2.5,892.0,2497.0,21.285449753557508
1054,WEU,Western Europe,FR,France,1250000000.0,2.885,3.46,1.984,2.929,1375.0,2510.0,20.94640938906062
2708,WEU,Western Europe,FR,France,4180000000.0,2.662,3.0,2.25,2.548,84296.0,2526.0,22.15357708372231
4192,WEU,Western Europe,IT,Italy,797200000.0,3.407,3.725,2.99,3.333,7.6,2549.4,20.496616147557305
3232,WEU,Western Europe,NL,Netherlands,2210571000.0,3.467,4.05,3.08,2.881,4768.0,2550.0,21.51651669059712
3310,WEU,Western Europe,FR,France,1476111000.0,2.836,3.042,2.886,2.405,30793.0,2598.0,21.112676764226556
1799,NAM,Northern America,US,United States of America,2240000000.0,3.205,4.75,2.25,1.571,59459.0,2751.0,21.529741703259788
10760,NAM,Northern America,US,United States of America,2787586000.0,2.736,3.33,2.281,2.214,1916.0,2808.0,21.748441825633407
2616,WEU,Western Europe,FR,France,5610000000.0,2.845,3.405,2.985,1.667,612.0,2811.0,22.44781655665927
1203,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1630000000.0,2.943,3.15,3.0,2.5,16965.0,2851.0,21.21184585237858
4198,WEU,Western Europe,ES,Spain,2210000000.0,2.707,2.989,2.755,2.143,43950.0,2936.0,21.51625835292856
1077,WEU,Western Europe,FR,France,1406689000.0,3.077,3.29,3.12,2.643,3008.0,3062.0,21.064504553688327
3419,NAM,Northern America,US,United States of America,1850000000.0,3.77,4.804,3.0,2.833,568478.0,3064.0,21.338451476577184
3683,WEU,Western Europe,DK,Denmark,2370000000.0,2.657,3.3,2.0,2.286,2673.0,3067.0,21.58615579251539
1824,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,3044500000.0,3.226,3.625,3.233,2.5,108280.0,3070.0,21.836602521341366
1852,WEU,Western Europe,LU,Luxembourg,678999000.0,2.687,3.098,3.0,1.571,415.63,3074.36,20.33613021424059
10100,WEU,Western Europe,SE,Sweden,13538600000.0,2.824,3.176,2.943,2.048,614.0,3089.0,23.328810701817318
3669,ANZ,Australia and New Zealand,NZ,New Zealand,475078000.0,2.531,3.04,2.11,2.119,176.0,3161.0,19.978989561149074
4075,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,193600000.0,3.351,4.358,2.907,2.071,2487.0,3192.0,19.08130473797204
1243,WEU,Western Europe,SE,Sweden,3410000000.0,2.752,2.961,2.9,2.2,48140.0,3215.0,21.949978128535093
3769,WEU,Western Europe,DE,Germany,1820000000.0,2.901,4.0,1.942,2.071,18137.0,3248.0,21.322102338584564
3309,WEU,Western Europe,DE,Germany,732700000.0,2.745,2.7,2.5,3.119,48719.0,3253.0,20.412246900495006
1367,WEU,Western Europe,IE,Ireland,744117000.0,2.027,1.479,1.979,3.071,54564.0,3311.0,20.427708839842005
2037,NAM,Northern America,US,United States of America,599383000.0,2.539,3.0,1.9,2.476,2841.0,3373.0,20.21141135241799
2246,WEU,Western Europe,NL,Netherlands,635625000.0,2.327,2.25,2.0,2.857,8186.0,3378.0,20.270119326340353
1400,WEU,Western Europe,IT,Italy,1700000000.0,2.853,3.045,2.857,2.5,5265.0,3400.0,21.253894088596816
58,WEU,Western Europe,NO,Norway,655579000.0,3.682,4.566,3.084,2.81,231720.0,3401.0,20.30102937411963
2645,NAM,Northern America,US,United States of America,1561252000.0,2.895,3.65,2.35,2.19,281.0,3425.0,21.168753901068573
1415,EA,Eastern Asia,CN,China,18200000000.0,3.091,3.944,3.079,1.571,194982.0,3486.0,23.624687431084105
1195,WEU,Western Europe,FR,France,6050000000.0,3.17,3.859,3.449,1.595,45800.0,3500.0,22.52332410915445
10451,WEU,Western Europe,FR,France,5280000000.0,3.091,3.79,2.017,3.119,37806.0,3509.0,22.387191934853977
2953,NAM,Northern America,US,United States of America,648407000.0,3.029,3.867,2.986,1.571,21400.0,3600.0,20.290029145114822
1142,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,716484000.0,2.943,3.761,2.383,2.143,6347.0,3709.0,20.389866475604272
1939,NAM,Northern America,US,United States of America,2907738000.0,2.725,2.984,3.0,1.929,29.0,3830.0,21.790641296616574
1224,WEU,Western Europe,NL,Netherlands,1732400000.0,2.978,3.413,2.9,2.286,32666.0,3860.0,21.27277356788198
1162,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1123600000.0,2.857,3.2,2.4,2.786,205.9,3932.5,20.83980365408436
4205,WEU,Western Europe,IT,Italy,362000000.0,3.304,3.9,3.0,2.595,14043.0,4081.0,19.707154772552474
1225,WEU,Western Europe,BE,Belgium,3360000000.0,2.686,3.012,2.827,1.929,24256.0,4085.0,21.935206811219143
3313,WEU,Western Europe,IT,Italy,462689000.0,3.064,3.094,2.974,3.119,1044.0,4099.0,19.952565682252562
1349,WEU,Western Europe,NL,Netherlands,943000000.0,3.284,3.895,3.0,2.524,2071.0,4120.0,20.664576841658178
2703,NAM,Northern America,US,United States of America,2550000000.0,2.79,3.101,2.9,2.095,1506.0,4151.0,21.659359196508902
3725,WEU,Western Europe,LU,Luxembourg,649600000.0,3.346,3.802,3.211,2.69,15211.0,4263.0,20.29186734835115
2380,NAM,Northern America,US,United States of America,5693603000.0,2.64,3.168,2.042,2.405,441976.0,4397.0,22.462609101032236
2690,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,720000000.0,2.745,2.5,2.9,3.0,18069.0,4467.0,20.394761771363264
3518,NAM,Northern America,US,United States of America,2849600000.0,3.504,3.953,3.15,3.119,2807.0,4488.0,21.7704444708506
1281,WEU,Western Europe,FR,France,1089600000.0,3.011,3.407,3.1,2.19,828.0,4546.0,20.80907649427729
1609,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,6253400000.0,3.329,3.836,2.92,2.905,95262.0,4562.0,22.556391152940275
1181,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,3050000000.0,2.853,3.387,2.882,1.857,18199.0,4680.0,21.8384074278936
3908,WEU,Western Europe,DK,Denmark,2380000000.0,3.219,4.235,2.653,2.071,6511.0,4695.0,21.590366325049963
10702,WEU,Western Europe,LU,Luxembourg,534970000.0,3.322,3.9,3.1,2.548,5656.54,4697.11,20.097721230390942
3991,WEU,Western Europe,SE,Sweden,9850000000.0,2.729,3.31,3.0,1.357,842.0,4743.0,23.01073729223193
1262,WEU,Western Europe,IT,Italy,3510000000.0,2.67,3.1,3.0,1.5,6176.45,4761.1,21.978881874709085
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,21.770584831577846
3256,WEU,Western Europe,SE,Sweden,1498917000.0,2.634,2.579,2.711,2.643,38064.0,4997.0,21.1280086849542
1074,WEU,Western Europe,FR,France,1283277000.0,3.37,3.9,3.3,2.5,13537.81,5076.68,20.972682800289892
1557,WEU,Western Europe,FR,France,2402800000.0,3.018,3.4,2.995,2.357,41609.0,5271.0,21.59990056135646
2126,WEU,Western Europe,ES,Spain,843000000.0,2.996,3.75,2.0,2.833,380.42,5296.02,20.55247751715237
1208,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,3371500000.0,3.16,3.602,2.807,2.786,41015.0,5405.0,21.938623586435515
1343,WEU,Western Europe,FI,Finland,494000000.0,2.92,3.192,3.0,2.333,3301.0,5431.0,20.01804607717649
1213,WEU,Western Europe,CH,Switzerland,4440000000.0,3.129,3.9,2.675,2.286,7600.0,5500.0,22.21392021361577
1198,WEU,Western Europe,AT,Austria,1855872600.0,2.972,3.028,2.827,3.048,35049.0,5536.0,21.341620827251884
66,WEU,Western Europe,FR,France,4800000000.0,2.971,3.215,3.593,1.786,17567.0,5803.0,22.29188175506859
1491,NAM,Northern America,US,United States of America,1870000000.0,2.99,3.229,2.8,2.786,1012.0,5847.0,21.349204268347666
2339,NAM,Northern America,US,United States of America,790723000.0,2.803,3.901,2.184,1.571,183.0,6091.0,20.48845827603251
63,WEU,Western Europe,FR,France,1926233000.0,2.908,3.65,1.797,2.905,12879.0,6132.0,21.378832119640776
2209,WEU,Western Europe,DE,Germany,306500000.0,3.007,3.968,1.948,2.548,6364.0,6257.0,19.540728316603182
3665,NAM,Northern America,US,United States of America,4300000000.0,3.149,3.0,3.0,3.595,1034.0,6364.095,22.181880859878486
10801,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1298700000.0,3.176,3.469,2.942,2.929,4326.6,6568.0,20.98462960185032
1511,WEU,Western Europe,PT,Portugal,715595511.0,3.054,3.504,2.799,2.548,21603.0,6759.0,20.388625637919027
2026,NAM,Northern America,US,United States of America,1900000000.0,2.96,3.25,2.65,2.81,66.0,7096.0,21.365119723645122
1204,WEU,Western Europe,DE,Germany,1490000000.0,3.162,3.702,2.862,2.548,4920.0,7419.0,21.12204195757492
2143,NAM,Northern America,US,United States of America,2767100000.0,2.668,3.159,2.768,1.667,161700.0,7500.0,21.741065677683615
2977,NAM,Northern America,US,United States of America,721900000.0,2.845,3.633,2.049,2.381,404.0,7644.0,20.397397184494622
1252,WEU,Western Europe,IT,Italy,1890600000.0,2.926,3.134,3.088,2.357,317414.0,7644.0,21.36016007648449
1239,WEU,Western Europe,DE,Germany,1392163000.0,2.023,1.0,3.0,2.69,7650.0,7760.0,21.054124490422694
2517,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,871900000.0,2.805,3.75,2.0,2.071,8153.0,7799.0,20.586185297544965
3320,WEU,Western Europe,NL,Netherlands,338730000.0,2.998,3.988,1.67,2.81,3730.0,7845.0,19.64071389077702
2169,NAM,Northern America,US,United States of America,6430000000.0,2.777,3.141,3.0,1.857,1877.0,7869.0,22.58424037535146
3642,NAM,Northern America,US,United States of America,195000000.0,3.376,3.75,2.87,3.31,196.0,7919.0,19.088510121656228
10234,WEU,Western Europe,FR,France,629000000.0,2.737,2.941,2.431,2.738,7065.0,8083.0,20.25964181625454
1229,WEU,Western Europe,DE,Germany,9300000000.0,2.352,2.13,2.9,2.095,115383.0,8264.0,22.95328023721315
