entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,revenue_log,activity_type,activity_code,env_score_adjustment,env_score_adjustment_capped,nace_level_1_code,nace_level_1_name,nace_level_2_code,nace_level_2_name,revenue_pct,sdg_id,sdg_name,Sector_Comp_1,Sector_Comp_2,Sector_Comp_3,Sector_Comp_4,Sector_Comp_5,Sector_Comp_6,Sector_Comp_7,Sector_Comp_8,Sector_Comp_9,Sector_Comp_10,num_activities,avg_env_score_adjustment,has_activity,revenue_x_environmental_score,revenue_x_governance_score,E_x_S,S_x_G,country_ts2_per_revenue,target_scope_1_log,target_scope_2_log,sector_avg_scope2_log,sector_median_scope2_log,country_avg_scope2_log,country_avg_scope2_per_revenue,country_avg_esg,rev_x_env,rev_x_gov,env_x_gov,esg_sum,sector1_x_country,ESG_Comp_1,ESG_Comp_2
102,WEU,Western Europe,DE,Germany,1316803000.0,3.355,4.4,2.876,2.048,577624.0,170126.0,20.9984726668942,Other,ENVIB010,-0.1,-0.1,C,Manufacturing,20,Manufacture of chemicals and chemical products,1.0,2.0,Zero Hunger,-0.1292209714998981,-0.0588249862110992,-0.1330587678184032,-0.2242079399675794,-0.0434914597081006,-0.070513370819065,-0.1216459936173244,0.1115193765404103,-0.2741815124568095,-0.2406238726585326,1,-0.1,1,5793933200.0,2696812544.0,12.6544,5.890048,1.1990447633649742e-05,13.266680148172568,12.044300495946384,10.30932552506939,10.996263838148824,8.381460508005716,1.0678389188116252e-05,3.234346153846154,5793933200.0,2696812544.0,9.0112,9.324,-1.549417291938874e-06,-3311579624.6806507,-0.8909091160489383
106,WEU,Western Europe,DE,Germany,426258000.0,2.162,1.95,2.375,2.286,2223.0,131.0,19.87055535706032,Operation,MTH001,-0.5,-0.5,J,Information and communication,61,Telecommunications,0.5,9.0,"Industry, Innovation and Infrastructure",-0.2433719248643504,-0.3287363522072787,-0.1906434854011205,-0.2470007613723722,-0.8198136660033735,0.2270416173982423,-0.6672142519368469,0.2782610412684567,0.2917548737207705,-0.962773622969223,4,-0.3,1,831203100.0,974425788.0,4.63125,5.42925,1.1990447633649742e-05,7.707062655370473,4.882801922586371,7.153019837360215,8.058960017769417,8.381460508005716,1.0678389188116252e-05,3.234346153846154,831203100.0,974425788.0,4.4577,6.611000000000001,-2.9181383205865328e-06,-4202124624.6806536,1.5463415204917996
972,WEU,Western Europe,IT,Italy,16300000000.0,2.218,2.407,2.056,2.071,104418.0,232269.0,23.51443094482048,Operation,MTH002,-0.1,-0.1,J,Information and communication,63,Information service activities,0.272508333,7.0,Affordable and Clean Energy,-0.1930204306534884,-0.2485269427720098,-0.1220704534246767,-0.1712165699068825,-0.5568979462049168,0.1113136025374362,-0.4793723295889335,0.1524582401947508,0.2905980950207739,-0.6472124305793875,4,-0.1,1,39234100000.0,33757300000.000004,4.948792,4.257976,2.691973307029712e-05,11.556166930209244,12.355655767069663,8.812584040680367,9.272512507066661,8.134111131229867,1.6641820628839708e-05,3.315925925925926,39234100000.0,33757300000.000004,4.984897,6.534000000000001,-5.196058470305704e-06,11671617375.319345,1.3096010745042352
999,WEU,Western Europe,NL,Netherlands,4110000000.0,1.987,2.12,2.014,1.714,3684.0,204.0,22.136688865697863,Operation,MTH001,-0.25,-0.25,J,Information and communication,61,Telecommunications,1.0,16.0,"Peace, Justice and Strong Institutions",-0.1327052466627641,-0.1524454785831753,-0.0399280045205773,-0.0804359977815167,-0.241955753083744,-0.0273149847290908,-0.2543597398902332,0.0017612407863014,0.2892124098247244,-0.2692071364441744,2,-0.25,1,8713200000.0,7044540000.0,4.26968,3.4519959999999994,2.870823443040889e-05,8.212025804623437,5.3230099791384085,7.153019837360215,8.058960017769417,8.69614039755072,2.2134828802156627e-05,3.276884615384615,8713200000.0,7044540000.0,3.63368,5.848000000000001,-3.8097333313398686e-06,-518382624.68065184,1.5786760751395068
1054,WEU,Western Europe,FR,France,1250000000.0,2.885,3.46,1.984,2.929,1375.0,2510.0,20.94640938906062,Operation,X.XX.3.B,-0.25,-0.25,P,Public Administration And Defence; Compulsory Social Security,85,Education,1.0,4.0,Quality Education,-0.2149677471239052,-0.2259665433213106,-0.1394688761671585,-0.2205707260022191,-0.6118308051191486,-0.0693233900379223,-0.1272758057887855,3.693284641452824,1.2484969011666476,1.7553436217546925,1,-0.25,1,4325000000.0,3661250000.0,6.86464,5.811135999999999,1.4630044194219064e-05,7.226936018493289,7.828436359157585,8.218977067935077,8.395157685917635,8.555753572198892,8.915957793295588e-06,3.3401162790697674,4325000000.0,3661250000.0,10.13434,8.373,-3.1449876407544412e-06,-3378382624.680655,0.19651333782058053
1055,WEU,Western Europe,LU,Luxembourg,1704800000.0,3.133,3.8,2.8,2.333,63214.0,56730.0,21.25671363933526,Other,ENVIB010,-0.1,-0.1,C,Manufacturing,20,Manufacture of chemicals and chemical products,1.0,3.0,Good Health and Wellbeing,-0.1292209714998985,-0.0588249862110973,-0.1330587678184036,-0.2242079399675822,-0.0434914597080974,-0.0705133708190634,-0.1216459936173346,0.1115193765404125,-0.2741815124568119,-0.2406238726585364,1,-0.1,1,6478240000.0,3977298400.000001,10.64,6.5324,3.3218989110173384e-05,11.054296893746,10.946076077522912,10.30932552506939,10.996263838148824,8.861578561657744,1.9547900433311356e-05,3.3801666666666663,6478240000.0,3977298400.0000005,8.865400000000001,8.933,-4.292590045061154e-06,-2923582624.680652,-0.32979816249476995
1060,WEU,Western Europe,FR,France,563108000.0,2.769,2.798,2.434,3.119,16227.0,163.0,20.1489819989678,Disposal ,C.25.06.P,0.060046918,0.060046918,F,Construction,43,Specialised construction activities,0.734265896,7.0,Affordable and Clean Energy,-0.2512588968800545,0.7389468819334448,0.2048447135646914,-0.1069071309569295,-0.1249671534100566,-0.0372830296316253,-0.3908499435922524,0.133334867404065,-0.2875157232737679,-0.5499567167937289,2,0.060046918,1,1575576184.0,1756333852.0000002,6.810332000000001,7.591646000000001,1.4630044194219064e-05,9.694493424326335,5.099866427824199,7.972104506216906,7.902723854292391,8.555753572198892,8.915957793295588e-06,3.3401162790697674,1575576184.0,1756333852.0000002,8.726962,8.351,-3.6759287655459274e-06,-4065274624.680655,0.64748523143555
1063,WEU,Western Europe,PT,Portugal,5142600000.0,2.727,2.54,2.203,3.69,31861.0,74807.0,22.36082462529162,Disposal ,Q.86.1.P,0.03242468,0.03242468,J,Information and communication,61,Telecommunications,1.0,9.0,"Industry, Innovation and Infrastructure",-0.1122858332852734,-0.1128802255283581,-0.0325536421480015,-0.0525562522043143,-0.1508242626378357,-0.0190141319591885,-0.1435852824924883,0.014427801959322,0.1303963870415158,-0.1567845365653558,1,0.03242468,1,13062204000.0,18976194000.0,5.595619999999999,8.129069999999999,1.1995906463362357e-05,10.36916935613284,11.222680110115284,7.153019837360215,8.058960017769417,10.020729139576147,1.3923400106200382e-05,3.0220000000000002,13062204000.0,18976194000.0,9.3726,8.433,-1.3469703532508392e-06,514217375.31934035,0.9271158928777993
1064,WEU,Western Europe,FR,France,715000000.0,3.177,3.742,2.617,2.833,12698.0,1814.0,20.38779310205688,Farming,A.1.3.B,-0.25,-0.25,C,Manufacturing,10,Manufacture of food products,1.0,2.0,Zero Hunger,-0.1562113752693861,-0.1573218880558125,-0.0768784869260613,-0.0274860844882201,-0.1825608191895328,-0.0366448139260118,-0.1239903977068166,0.1151474571327097,-0.1267367847435627,-0.2216835655288128,1,-0.25,1,2675530000.0,2025595000.0,9.792814,7.413961,1.4630044194219064e-05,9.449278529189034,7.503840746698951,8.388512915584489,8.925543386961966,8.555753572198892,8.915957793295588e-06,3.3401162790697674,2675530000.0,2025595000.0000002,10.601086,9.192,-2.285379323830858e-06,-3913382624.6806536,-0.26948715229017334
1074,WEU,Western Europe,FR,France,1283277000.0,3.37,3.9,3.3,2.5,13537.81,5076.68,20.97268280028989,Operation,G.47.4.B,-0.1,-0.1,C,Manufacturing,10,Manufacture of food products,1.0,3.0,Good Health and Wellbeing,-0.156211375269386,-0.1573218880558129,-0.0768784869260618,-0.02748608448822,-0.1825608191895303,-0.0366448139260119,-0.1239903977068148,0.1151474571327073,-0.12673678474356,-0.2216835655288103,1,-0.1,1,5004780300.0,3208192500.0,12.87,8.25,1.4630044194219064e-05,9.513315654863884,8.532609743343171,8.388512915584489,8.925543386961966,8.555753572198892,8.915957793295588e-06,3.3401162790697674,5004780300.0,3208192500.0,9.75,9.7,-2.285379323830856e-06,-3345105624.680651,-0.6071504674244683
1077,WEU,Western Europe,FR,France,1406689000.0,3.077,3.29,3.12,2.643,3008.0,3062.0,21.064504553688327,Transportation,M.70.4.P,0.1,0.1,M,"Professional, scientific and technical activities",74,"Other professional, scientific and technical activities",0.5,12.0,Responsible Consumption and Production,-0.3377897482335552,-0.2191092583714067,-0.2464313848272745,-1.4145858993071598,-0.3681770458699775,-2.5643531138163183,8.3330289710769,-2.195474838798368,0.6197665352406128,1.9926402440718944,2,0.1,1,4628006810.0,3717879027.0,10.2648,8.24616,1.4630044194219064e-05,8.009363076630045,8.027150106832774,8.894753590487683,8.894753590487683,8.555753572198892,8.915957793295588e-06,3.3401162790697674,4628006810.0,3717879026.9999995,8.69547,9.053,-4.941878945011043e-06,-3221693624.680653,0.01087839855065997
1078,NAM,Northern America,US,United States of America,6120000000.0,3.068,3.8,3.039,1.786,8825.0,1597.0,22.534827933634045,Operation,MTH002,-0.1,-0.1,C,Manufacturing,20,Manufacture of chemicals and chemical products,0.666666667,3.0,Good Health and Wellbeing,-0.1804887712678781,-0.0984697289930029,-0.2482885174181608,-0.4257287906129188,-0.048177484031737,-0.1312835263149019,-0.2346846939488743,0.2330219332839853,-0.5109010893605197,-0.5043808257161047,4,-0.2,1,23256000000.0,10930320000.0,11.5482,5.427654,4.5487802618851305e-05,9.085457189829492,7.37650812632622,10.30932552506939,10.996263838148824,9.558663510576434,1.3481632512183627e-05,3.565965986394558,23256000000.0,10930320000.0,6.7867999999999995,8.625,-8.21003760235224e-06,1491617375.319349,-0.33530317547284466
1079,WEU,Western Europe,LU,Luxembourg,715000000.0,3.083,3.25,3.0,2.881,2203.0,2288.0,20.38779310205688,Other,ENVIB010,-0.1,-0.1,K,Financial and insurance activities,66,Activities auxiliary to financial services and insurance activities,1.0,3.0,Good Health and Wellbeing,-0.2081568122690232,-0.2074417927642757,-0.1117226997244328,-0.1474206133562761,-0.3419798178445001,0.1835932615446993,-0.202815553239289,0.2397339777187756,-0.1932864891642121,-0.4743316522920547,1,-0.1,1,2323750000.0,2059915000.0,9.75,8.642999999999999,3.3218989110173384e-05,7.698029170272805,7.735870319952567,6.657729701238671,7.454141078146678,8.861578561657744,1.9547900433311356e-05,3.3801666666666663,2323750000.0,2059914999.9999998,9.363249999999999,9.131,-6.9147588799730866e-06,-3913382624.6806545,0.06115923777269474
1091,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2350200000.0,3.07,3.653,2.711,2.452,242.4,1726.0,21.57776626828961,Operation,MTH002,-0.1,-0.1,K,Financial and insurance activities,66,Activities auxiliary to financial services and insurance activities,1.0,3.0,Good Health and Wellbeing,-0.2081568122690243,-0.2074417927642791,-0.1117226997244302,-0.1474206133562771,-0.3419798178444989,0.1835932615447046,-0.2028155532392856,0.2397339777187882,-0.1932864891642134,-0.4743316522920656,1,-0.1,1,8585280600.0,5762690400.0,9.903283,6.647372,9.190606958410844e-06,5.494706180553427,7.454141078146678,6.657729701238671,7.454141078146678,7.839892076213068,9.367221878971305e-06,3.5126612903225807,8585280600.0,5762690400.0,8.957156,8.815999999999999,-1.9130874472803144e-06,-2278182624.6806526,-0.17180619112010997
1129,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1041090000.0,3.119,3.714,1.988,3.405,11057.0,14914.0,20.76353407913414,Other,ENVIB010,-0.1,-0.1,P,Public Administration And Defence; Compulsory Social Security,85,Education,1.0,4.0,Quality Education,-0.2149677471239029,-0.2259665433213089,-0.1394688761671604,-0.2205707260022215,-0.61183080511915,-0.0693233900379202,-0.12727580578879,3.693284641452836,1.2484969011666471,1.7553436217546914,1,-0.1,1,3866608260.0,3544911450.0,7.383432,6.769139999999999,9.190606958410844e-06,9.310909426897878,9.61012269694885,8.218977067935077,8.395157685917635,7.839892076213068,9.367221878971305e-06,3.5126612903225807,3866608260.0,3544911450.0,12.64617,9.107,-1.975684072550845e-06,-3587292624.680655,-0.09207606575545317
1131,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,5100000000.0,3.482,3.071,5.0,2.4,7455.0,14923.0,22.35250637687277,Operation,MTH002,-0.1,-0.1,R,Human Health And Social Work Activities,92,Gambling and betting activities,1.0,3.0,Good Health and Wellbeing,-0.1772642120083424,-0.1654317904336861,-0.0815632109969159,-0.0469448469812869,-0.2157441595209023,-0.0534369703587571,-0.1747172955115136,0.0743242651404353,-0.1317374827523601,-0.1841317081051711,1,-0.1,1,15662100000.0,12240000000.0,15.355,12.0,9.190606958410844e-06,8.916774356365426,9.610725934341048,8.000384769155028,8.666302614004078,7.839892076213068,9.367221878971305e-06,3.5126612903225807,15662100000.0,12240000000.0,7.3704,10.471,-1.6291657003610866e-06,471617375.3193486,-0.3639381641924103
1132,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1115200000.0,3.244,3.913,3.0,2.333,173229.0,57301.0,20.83229959886724,Raw materials,C.32.41.B,-0.087032617,-0.087032617,C,Manufacturing,32,Other manufacturing,1.0,12.0,Responsible Consumption and Production,-0.1551133850589652,-0.0177003292087319,-0.2353614246447476,-0.6351424170372029,1.8231572270444047,0.2921223733946877,-0.0120229840029382,-0.1101497572440318,0.1863876025255034,0.2454893432512182,1,-0.087032617,1,4363777600.0,2601761600.0,11.739,6.9990000000000006,9.190606958410844e-06,12.062375470272986,10.956090806107662,9.688135216471387,10.42519376739833,7.839892076213068,9.367221878971305e-06,3.5126612903225807,4363777600.0,2601761600.0,9.129029000000001,9.246,-1.4255861560655861e-06,-3513182624.6806507,-0.5042567528677294
1140,WEU,Western Europe,NL,Netherlands,417000000.0,2.776,2.793,3.0,2.476,78.0,126.0,19.84859678216116,Operation,J.58.101.B,-0.25,-0.25,J,Information and communication,58,Publishing activities,1.0,9.0,"Industry, Innovation and Infrastructure",-0.1878194664882233,-0.2076881689171545,-0.099370148519984,-0.1593879601672289,-0.2735571892775815,-0.0397704730539482,-0.2132360675888912,0.569636237031172,-0.0621378570808318,-0.4277003752184152,1,-0.25,1,1164681000.0,1032492000.0,8.379000000000001,7.428,2.870823443040889e-05,4.3694478524670215,4.844187086458591,7.575414016329099,8.123854263105914,8.69614039755072,2.2134828802156627e-05,3.276884615384615,1164681000.0,1032492000.0,6.915468000000001,8.269,-5.391965274538241e-06,-4211382624.680653,0.5297282291680543
1142,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,716484000.0,2.943,3.761,2.383,2.143,6347.0,3709.0,20.389866475604272,Operation,MTH002,-0.138696255,-0.138696255,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.5,3.0,Good Health and Wellbeing,-0.415591008000132,-0.4453593699816404,-0.5331235302850482,-1.7028811311538803,-0.5939227919040322,-2.8344291589546744,8.931756204125668,-1.9918138278127369,0.2710903367713108,1.3329239154585688,4,-0.138696255,1,2694696324.0,1535425211.9999998,8.962463,5.106769,9.190606958410844e-06,8.7558950816463,8.21878715560148,8.692736115246955,8.480201539915154,7.839892076213068,9.367221878971305e-06,3.5126612903225807,2694696324.0,1535425211.9999998,8.059823,8.286999999999999,-3.8195336099789895e-06,-3911898624.6806517,-0.14056142904415728
1157,WEU,Western Europe,DK,Denmark,7780000000.0,3.185,3.65,2.9,2.69,74384.0,19399.0,22.77482217526525,Operation,MTH002,-0.1,-0.1,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",1.0,9.0,"Industry, Innovation and Infrastructure",-0.1500908437845647,-0.1400270798588176,-0.1440841601646057,-0.2271920659278609,-0.0748224649506291,-0.0719684666196036,-0.157951291367083,0.1671356915992951,-0.2606180627261348,-0.3418663983881355,1,-0.1,1,28397000000.0,20928200000.0,10.585,7.800999999999999,1.033271124433927e-06,11.217009587591344,9.87302834505142,8.13810958837859,8.258681496264236,8.342772555080511,1.0459859415464298e-06,3.419,28397000000.0,20928200000.0,9.8185,9.24,-1.5508453492451403e-07,3151617375.3193464,-0.23298116193905224
1160,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,754600000.0,2.729,3.0,2.988,1.929,1293.0,1005.0,20.44169836681969,Operation,MTH002,-0.1,-0.1,M,"Professional, scientific and technical activities",73,"Activities of advertising, market research and public relations",0.885104691,3.0,Good Health and Wellbeing,-0.2578556960282619,-0.2966402761525928,-0.2254140474563047,-0.315348791915247,-0.6177883047965304,-0.6459233304978849,1.1339173172738666,-0.4593989601118727,0.8288190958966506,-0.344740636667304,2,-0.1,1,2263800000.0,1455623400.0,8.964,5.763852,9.190606958410844e-06,7.165493475060845,6.913737350659685,6.913737350659685,6.913737350659685,7.839892076213068,9.367221878971305e-06,3.5126612903225807,2263800000.0,1455623400.0,5.787,7.917,-2.3698503541832154e-06,-3873782624.68065,0.3959317165887585
1162,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1123600000.0,2.857,3.2,2.4,2.786,205.9,3932.5,20.83980365408436,Operation,J.58.20.P,0.1,0.1,J,Information and communication,62,"Computer programming, consultancy and related activities",1.0,16.0,"Peace, Justice and Strong Institutions",-0.1608745289169812,-0.1667006445809752,-0.0851835860757421,-0.1030855657943606,-0.2833444657241624,-0.0577918384387306,-0.179127255649981,0.1633901123737023,-0.0378477281447848,-0.4650781294849607,1,0.1,1,3595520000.0,3130349600.0,7.68,6.6864,9.190606958410844e-06,5.332235584751498,8.277284893769297,7.326217478249711,7.869793956908094,7.839892076213068,9.367221878971305e-06,3.5126612903225807,3595520000.0,3130349600.0,8.9152,8.386,-1.4785345648954738e-06,-3504782624.6806545,0.31724944270968936
1170,NAM,Northern America,CA,Canada,2664900000.0,3.213,3.913,2.977,2.238,22879.0,910.0,21.70343237078329,Other,ENVIB010,-0.1,-0.1,C,Manufacturing,32,Other manufacturing,0.19,3.0,Good Health and Wellbeing,-0.1381058058102076,-0.0664396991737142,-0.1545910971611812,-0.3028524745432639,0.3052188997787962,-0.0018890476205559,-0.1077156283630452,0.0799693409825472,-0.1840963251613483,-0.1674984415243073,3,-0.1,1,10427753700.0,5964046200.0,11.649000999999998,6.662526,8.23447626268811e-06,10.038018445493734,6.814542897259958,9.688135216471387,10.42519376739833,9.793829150431462,1.0142715467151869e-05,3.7438333333333333,10427753700.0,5964046200.0,8.757294,9.128,-1.1372289796835682e-06,-1963482624.6806514,-0.4807143491765225
