entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,revenue_log,activity_type,activity_code,env_score_adjustment,env_score_adjustment_capped,nace_level_1_code,nace_level_1_name,nace_level_2_code,nace_level_2_name,revenue_pct,sdg_id,sdg_name,Sector_Comp_1,Sector_Comp_2,Sector_Comp_3,Sector_Comp_4,Sector_Comp_5,Sector_Comp_6,Sector_Comp_7,Sector_Comp_8,Sector_Comp_9,Sector_Comp_10,num_activities,avg_env_score_adjustment,has_activity,revenue_x_environmental_score,revenue_x_governance_score,E_x_S,S_x_G,country_ts2_per_revenue,target_scope_1_log,target_scope_2_log
4037,WEU,Western Europe,IT,Italy,1276800000.0,3.028,3.569,3.013,2.071,59534.0,0.0,20.967622785443027,Farming,A.1.4.B,-0.090452694,-0.090452694,C,Manufacturing,10,Manufacture of food products,1.0,3.0,Good Health and Wellbeing,-0.156211375269386,-0.1573218880558126,-0.0768784869260623,-0.0274860844882202,-0.1825608191895309,-0.0366448139260119,-0.1239903977068158,0.1151474571327065,-0.1267367847435618,-0.2216835655288108,1,-0.090452694,1,4556899200.0,2644252800.0,10.753397,6.239923,2.691973307029712e-05,10.994319653885276,0.0
1467,WEU,Western Europe,ES,Spain,462000000.0,3.359,3.594,3.086,3.262,49.0,226.0,19.95107545121052,Other,ENVIB010,-0.054978355,-0.054978355,J,Information and communication,60,"Programming, broadcasting, news agency and other content distribution activities",0.45021645,9.0,"Industry, Innovation and Infrastructure",-0.2245061326365204,-0.4444324634674959,-0.4823057916282827,0.9620126896055928,-1.4451632609764014,-1.0881936176013856,-2.830105890643521,-5.002731938317222,11.440905851018092,2.167892018610378,2,-0.054978355,1,1660428000.0,1507044000.0,11.091084,10.066532,1.0041005413315722e-05,3.912023005428146,5.424950017481403
37,WEU,Western Europe,ES,Spain,1279737000.0,3.796,4.05,3.8,3.333,10327.0,22314.0,20.96992042579776,Other,ENVIB010,-0.1,-0.1,I,Accommodation And Food Service Activities,56,Food and beverage service activities,1.0,16.0,"Peace, Justice and Strong Institutions",-0.1445729755441853,-0.1753455869549384,-0.1513748349729363,0.9842530297519932,0.0666818729714831,-0.030420675183734,0.0804297867637858,0.1269337797768214,-0.2238882367845519,-0.1611723258683164,1,-0.1,1,5182934850.0,4265363421.0,15.39,12.6654,1.0041005413315722e-05,9.242613932526478,10.01301437706337
1406,WEU,Western Europe,NL,Netherlands,2940000000.0,3.019,3.65,2.803,2.143,127587.0,69470.0,21.80167541863714,Operation,MTH004,-0.25,-0.25,C,Manufacturing,32,Other manufacturing,1.0,3.0,Good Health and Wellbeing,-0.218360350210147,0.0379143140560749,-0.4455435695140675,-1.2456083274472871,3.706007226280711,0.5949580259786541,0.0087648570888725,-0.2473938776204061,0.4011948407926978,0.5353406231889702,2,-0.175,1,10731000000.0,6300419999.999999,10.23095,6.006828999999999,2.870823443040889e-05,11.756561601583275,11.148664678286073
10234,WEU,Western Europe,FR,France,629000000.0,2.737,2.941,2.431,2.738,7065.0,8083.0,20.25964181625454,Operation,MTH001,-0.416003185,-0.416003185,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,0.210721868,3.0,Good Health and Wellbeing,-0.4909011870573234,0.4568331848297286,-0.2881209769566935,-0.3785230358174809,-0.4505024971721629,-0.4771206624033085,-1.7437334193741492,-1.2622159746295334,-0.995372632481654,-0.9579946761159698,18,-0.416003185,1,1849889000.0,1722202000.0,7.149571,6.656078,1.4630044194219064e-05,8.86304982791909,8.997642078523512
2633,NAM,Northern America,US,United States of America,6255284000.0,2.999,3.816,2.963,1.571,128220.0,17432.0,22.556692383671493,Other,ENVIB010,-0.1,-0.1,G,Wholesale And Retail Trade,47,Retail trade,0.843080826,8.0,Decent Work and Economic Growth,0.8205141592562452,-0.0475850685538287,-0.037091219568444,-0.0702793759631187,-0.1392641631471365,-0.1180236469650709,0.2633157212862327,-0.0415935855924838,-0.1152840538815328,-0.0980902252498959,2,-0.1,1,23870163744.0,9827051164.0,11.306808,4.654873,4.5487802618851305e-05,11.76151061660614,9.766120240743216
2690,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,720000000.0,2.745,2.5,2.9,3.0,18069.0,4467.0,20.394761771363264,Disposal ,Q.86.1.P,0.03242468,0.03242468,C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",1.0,11.0,Sustainable Cities and Communities,-0.2408024093572221,0.1094757528355546,-0.1686775963459327,-0.2630275402282361,-0.2093605428446343,-0.1451682256537337,-0.7794755666668364,-0.2890598332842943,-0.7372703542024934,-0.9555751694675207,1,0.03242468,1,1800000000.0,2160000000.0,7.25,8.7,9.190606958410844e-06,9.802008383586276,8.404696160189092
10700,WEU,Western Europe,FR,France,568241000.0,3.04,3.243,3.028,2.69,14644.0,8895.0,20.15805618423189,Operation,MTH002,-0.1,-0.1,M,"Professional, scientific and technical activities",71,Architectural and engineering activities; technical testing and analysis,1.0,3.0,Good Health and Wellbeing,-0.1693104028868286,-0.1548833184317497,1.0449341255217248,-0.0407481819407158,-0.083351507218154,-0.1051193180347441,0.165320011234327,-0.0502281555267357,-0.0748661684704018,-0.069898500280236,1,-0.1,1,1842805563.0,1528568290.0,9.819804,8.14532,1.4630044194219064e-05,9.591854259261831,9.093357016490364
2143,NAM,Northern America,US,United States of America,2767100000.0,2.668,3.159,2.768,1.667,161700.0,7500.0,21.74106567768361,Raw materials,C.22.34.B,-0.24,-0.24,N,"Professional, Scientific And Technical Activities",81,Services to buildings and landscape activities,1.0,12.0,Responsible Consumption and Production,-0.2223558187854114,-0.1206387521451286,0.163908642995558,-0.1031245106520487,-0.2827825259112773,-0.1499582194651157,-0.5257898323953341,-0.1612208639424882,-0.4624203575672558,-0.5600902289393895,1,-0.24,1,8741268900.0,4612755700.0,8.744112,4.614256,4.5487802618851305e-05,11.993504229837974,8.922791623969637
1312,WEU,Western Europe,LU,Luxembourg,1250000000.0,3.331,3.818,2.935,2.929,8662.0,55328.0,20.94640938906062,Operation,MTH003,-0.1,-0.1,C,Manufacturing,17,Manufacture of paper and paper products,0.333333333,3.0,Good Health and Wellbeing,-0.1899830782729527,-0.1123659445086431,-0.1210673461829554,-0.2513016284561426,0.0209793323027607,-0.0812543085729979,-0.2589034505395063,-0.0700467358147303,-0.3826472329286051,-0.556340455263374,2,-0.1,1,4772500000.0,3661250000.0,11.20583,8.596615,3.3218989110173384e-05,9.06681636189014,10.921052462350916
1768,NAM,Northern America,CA,Canada,44500000000.0,3.38,3.999,3.9,1.643,128994.0,66114.0,24.51875502614108,Other,ENVIB010,-0.1,-0.1,I,Accommodation And Food Service Activities,56,Food and beverage service activities,1.0,9.0,"Industry, Innovation and Infrastructure",-0.1445729755441848,-0.1753455869549404,-0.1513748349729374,0.9842530297519752,0.0666818729714553,-0.0304206751836213,0.0804297867638077,0.1269337797768058,-0.2238882367845439,-0.1611723258683064,1,-0.1,1,177955500000.0,73113500000.0,15.5961,6.4077,8.23447626268811e-06,11.767528922902711,11.099150928990923
3673,WEU,Western Europe,CH,Switzerland,422300000.0,2.956,3.218,3.0,2.429,883.0,400.0,19.86122652227216,End-use,J.58.36.B,-0.016245274,-0.016245274,K,Financial and insurance activities,66,Activities auxiliary to financial services and insurance activities,0.26110586,9.0,"Industry, Innovation and Infrastructure",-0.1931296666484367,-0.207623838659874,-0.1025954720254156,-0.1562632157862332,-0.2914227385530057,0.0185511069612441,-0.2105152102279948,0.4834968238974652,-0.0963815334487825,-0.439876074921626,2,-0.016245274,1,1358961400.0,1025766700.0,9.654,7.286999999999999,2.0149717750949244e-05,6.784457062637643,5.993961427306569
4155,WEU,Western Europe,DE,Germany,3610000000.0,2.922,3.015,2.858,2.833,30240.0,2205.0,22.00697360956821,Operation,L.68.3.B,-0.133116883,-0.133116883,F,Construction,42,Civil engineering,0.052075376,7.0,Affordable and Clean Energy,-0.2352422212253027,0.2422180883202885,0.6176717248411877,-0.0712184652713572,-0.1867429257803923,-0.1034790256560634,-0.2802535724018444,-0.0447692086723052,-0.2951049056681207,-0.4090189248110416,4,-0.133116883,1,10884150000.0,10227130000.0,8.61687,8.096714,1.1990447633649742e-05,10.316953898529778,7.698936199813447
2465,NAM,Northern America,US,United States of America,4102108000.0,2.974,3.577,3.0,1.857,4098.0,13651.0,22.13476682511397,Other,ENVIB010,-0.1,-0.1,C,Manufacturing,14,Manufacture of wearing apparel,1.0,3.0,Good Health and Wellbeing,2.8418254069467084,0.0820679249546015,0.0321845099634159,0.072767190871868,-0.157404527381089,0.0451853949752778,-0.14665591756427,0.0350349429462723,-0.1220119731482472,0.0011215501908705,2,0.2,1,14673240316.0,7617614556.0,10.731,5.571,4.5487802618851305e-05,8.318498320504338,9.521641310026595
3053,NAM,Northern America,US,United States of America,4301200000.0,3.054,3.758,2.995,1.857,67853.0,13816.0,22.182159890713137,Other,ENVIB010,-0.332964806,-0.332964806,G,Wholesale And Retail Trade,46,"Wholesale trade, except of motor vehicles and motorcycles",0.51769957,8.0,Decent Work and Economic Growth,0.4089555668401929,-0.0752612609372687,-0.0764578760370099,-0.1148035330434572,-0.0669327645482029,-0.0351745498267618,-0.1049182271478371,0.0942216203545767,-0.1514370701432751,-0.1850693006492248,2,-0.332964806,1,16163909600.0,7987328400.0,11.25521,5.561715,4.5487802618851305e-05,11.125113617099382,9.53365499705667
2545,WEU,Western Europe,SE,Sweden,567000000.0,3.903,4.9,3.0,3.19,62.86,942.93,20.15586986345569,Other,ENVIB010,-0.1,-0.1,H,Transportation And Storage,51,Air transport,1.0,3.0,Good Health and Wellbeing,-0.2015071453114926,-0.3065755443783259,-0.3985634874039611,1.1830245651687268,1.712004103278975,0.5480545860510021,-0.1320890443625162,1.0435850922619552,-0.534441390691824,-0.6881779018495949,1,-0.1,1,2778300000.0,1808730000.0,14.7,9.57,1.0694268470598077e-06,4.156693187286636,6.850052010853692
3389,WEU,Western Europe,DE,Germany,412000000.0,2.98,3.9,1.8,2.738,1655.0,1757.0,19.836533909740982,Manufacturing,C.21.9.B,-0.1,-0.1,C,Manufacturing,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.0,3.0,Good Health and Wellbeing,-0.2020996221309397,-0.2020996988328295,-0.1502649496717048,-0.3313565779430995,-0.2998400207480256,-0.4816221433023002,1.2219606457097376,-0.2329155369991831,-0.2275543301989229,-0.1926857055512954,1,-0.1,1,1606800000.0,1128056000.0,7.02,4.9284,1.1990447633649742e-05,7.412160334945205,7.471932078245122
1272,WEU,Western Europe,IT,Italy,2363600000.0,3.175,3.8,2.977,2.286,10729.51,8302.15,21.58345171785888,Operation,MTH002,-0.1,-0.1,C,Manufacturing,28,Manufacture of machinery and equipment n.e.c.,1.0,3.0,Good Health and Wellbeing,-0.3809370470291618,-0.0789874037062299,-0.3740794359374451,0.1973365165679548,-0.6240413568568145,-0.6263006424631085,-2.1731552273785413,-2.4737338572605205,0.387676007899992,1.5661581420338595,2,-0.1,1,8981680000.0,5403189600.0,11.3126,6.805422,2.691973307029712e-05,9.280846364784123,9.02439023985821
1243,WEU,Western Europe,SE,Sweden,3410000000.0,2.752,2.961,2.9,2.2,48140.0,3215.0,21.949978128535093,Other,ENVIB010,-0.1,-0.1,N,"Professional, Scientific And Technical Activities",80,Investigation and security activities,1.0,12.0,Responsible Consumption and Production,-0.209823896503643,-0.1966191296651057,-0.0969871508916833,-0.10264476143745,-0.3012687646680652,-0.0842691075946947,-0.247432570317447,0.0927801534980905,-0.1962301967264172,-0.3113986904386593,1,-0.1,1,10097010000.0,7502000000.000001,8.5869,6.38,1.0694268470598077e-06,10.78188948386747,8.075893630298857
1268,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,5121400000.0,3.851,4.941,3.024,2.881,1051.0,180.0,22.356693676315867,Operation,MTH002,-0.1,-0.1,C,Manufacturing,27,Manufacture of electrical equipment,0.004205881,3.0,Good Health and Wellbeing,1.9125774904905413,-0.0214792911140618,-0.0211248277302263,0.0779656871812502,-0.2001508221894836,0.0109881466567601,-0.1900822716599255,0.0675503665292804,-0.1788833018983924,-0.0743057546969435,4,-0.1,1,25304837400.0,14754753399.999998,14.941584,8.712143999999999,9.190606958410844e-06,6.958448393297656,5.198497031265826
1162,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1123600000.0,2.857,3.2,2.4,2.786,205.9,3932.5,20.83980365408436,Operation,J.58.20.P,0.1,0.1,J,Information and communication,62,"Computer programming, consultancy and related activities",1.0,16.0,"Peace, Justice and Strong Institutions",-0.1608745289169812,-0.1667006445809752,-0.0851835860757421,-0.1030855657943606,-0.2833444657241624,-0.0577918384387306,-0.179127255649981,0.1633901123737023,-0.0378477281447848,-0.4650781294849607,1,0.1,1,3595520000.0,3130349600.0,7.68,6.6864,9.190606958410844e-06,5.332235584751498,8.277284893769297
2575,WEU,Western Europe,DE,Germany,248316000.0,2.979,3.1,2.917,2.833,524.0,1726.0,19.33021269060909,Operation,J.58.45.P,0.042420559,0.042420559,N,"Professional, Scientific And Technical Activities",78,Employment activities,1.0,3.0,Good Health and Wellbeing,-0.2057722379010423,-0.2049529621633062,-0.1231298780885685,0.1085713591485253,-0.1659365443128542,-0.0243081402632718,-0.1757331539498806,0.2471775794467748,-0.2533500281503502,-0.4507610331538016,1,0.042420559,1,769779600.0,703479228.0,9.0427,8.263861,1.1990447633649742e-05,6.263398262591624,7.454141078146678
1843,NAM,Northern America,US,United States of America,1439800000.0,3.01,3.732,3.066,1.643,129280.0,131187.0,21.08777005269402,Raw materials,C.32.34.B,-0.936935686,-0.936935686,C,Manufacturing,27,Manufacture of electrical equipment,0.063064314,3.0,Good Health and Wellbeing,-1.6494612008773522,24.86384302644872,0.1540694561554443,1.1067970878630289,-0.6501173217760592,0.3401937882651358,0.806528719169453,0.7672782234323512,0.4731313008360457,0.1920020707475742,4,-0.936935686,1,5373333600.0,2365591400.0,11.442312,5.037438,4.5487802618851305e-05,11.76974360887352,11.78438668789446
1493,NAM,Northern America,US,United States of America,2890000000.0,3.088,3.962,2.802,1.857,30424.0,73210.0,21.78452233941677,End-use,C.27.75.B,-0.074866644,-0.074866644,C,Manufacturing,13,Manufacture of textiles,0.072451218,3.0,Good Health and Wellbeing,-0.2273836928479448,-0.1153743652229871,-0.2176847333417187,-0.1413763354474171,-0.6548135935055155,-0.3605735339494991,-1.4873196785284142,-1.3134241738083314,-3.333137390858508,4.794675110581284,3,-0.074866644,1,11450180000.0,5366730000.0,11.101524,5.203314,4.5487802618851305e-05,10.323019917855728,11.201100961883556
1264,WEU,Western Europe,IT,Italy,787770000.0,3.043,3.4,3.0,2.452,4485.4,1840.6,20.484716728314247,Raw materials,C.14.45.B,-0.1,-0.1,C,Manufacturing,27,Manufacture of electrical equipment,0.5,7.0,Affordable and Clean Energy,0.0770139945742574,-0.1196768050013091,-0.1798009647411352,-0.0481473026346889,-0.5559576435017751,-0.2537976138258676,-1.07082107544858,-0.8579474295594929,-0.7655928003889715,1.3901151696342684,2,-0.1,1,2678418000.0,1931612040.0,10.2,7.356,2.691973307029712e-05,8.408805877400216,7.518390037967618
3958,NAM,Northern America,US,United States of America,19857200000.0,2.907,3.572,3.022,1.571,308000.0,11000.0,23.71183249876585,Farming,A.1.6.B,-0.13702537,-0.13702537,A,"Agriculture, Forestry And Fishing",1,"Crop and animal production, hunting and related service activities",1.0,2.0,Zero Hunger,-0.2331354146283583,-0.2267312750609516,-0.1499596787463811,0.1884929822771236,-0.165250394353442,-0.0653439887260453,-0.1578698830951951,0.2072353084390856,-0.3112596948341567,-0.3943394754222535,2,-0.13702537,1,70929918400.0,31195661200.0,10.794584,4.747561999999999,4.5487802618851305e-05,12.637858308703688,9.305741456739437
4061,NAM,Northern America,US,United States of America,2420000000.0,3.274,4.084,3.0,2.143,425.0,448.0,21.60703337752823,Operation,MTH001,-0.25,-0.25,H,Transportation And Storage,51,Air transport,0.265786215,8.0,Decent Work and Economic Growth,-0.2287406315862567,-0.2818330970836217,-0.3516392889003554,1.9722969934283887,0.8214294153116816,0.2143313501729628,0.1381486983809733,0.5721597990982071,-0.4264538742549761,-0.429234608621316,4,-0.25,1,9883280000.0,5186059999.999999,12.252,6.428999999999999,4.5487802618851305e-05,6.054439346269371,6.107022887742255
2805,NAM,Northern America,US,United States of America,840400000.0,3.376,3.94,2.981,2.833,36538.0,65205.0,20.54938852812503,Operation,MTH002,-0.1,-0.1,C,Manufacturing,24,Manufacture of basic metals,0.1941,3.0,Good Health and Wellbeing,-0.3611122273563888,3.525910363129753,-0.0788908825177071,-0.0595459734660957,-0.0713230443729157,-0.0140178548924055,0.0060491256567885,0.1715516863127852,-0.1528029644852466,-0.1650117352391359,2,-0.1,1,3311176000.0,2380853200.0,11.74514,8.445173,4.5487802618851305e-05,10.50613546228876,11.085306768220624
1281,WEU,Western Europe,FR,France,1089600000.0,3.011,3.407,3.1,2.19,828.0,4546.0,20.80907649427729,End-use,C.14.30.B,-0.1,-0.1,G,Wholesale And Retail Trade,47,Retail trade,1.0,9.0,"Industry, Innovation and Infrastructure",1.0090340000907745,-0.0057418607443563,-0.0038680626430029,0.0058339193162397,-0.0584639881347874,0.0043199098863886,-0.0479927242158049,0.0159559150340578,-0.0342425801605068,-0.0167638523694427,1,-0.1,1,3712267200.0,2386224000.0,10.5617,6.789,1.4630044194219064e-05,6.720220155135295,8.42222295382501
3387,NAM,Northern America,US,United States of America,1540000000.0,3.102,3.9,3.0,1.786,442406.0,2061608.0,21.1550482540213,Operation,I.55.06.B,-0.1,-0.1,I,Accommodation And Food Service Activities,55,Accommodation,1.0,9.0,"Industry, Innovation and Infrastructure",-0.2477096924261609,-0.3021283490386175,-0.511588156308952,4.490464666412524,0.93403184092149,0.0220976581748257,0.6862292892913916,0.1489092420085093,-0.2601414780261863,0.0685287810370896,1,-0.1,1,6006000000.0,2750440000.0,11.7,5.3580000000000005,4.5487802618851305e-05,12.999985551849893,14.53899730385209
2265,WEU,Western Europe,FR,France,573000000.0,3.071,3.638,2.419,2.833,987.0,1476.0,20.166396276424216,Operation,MTH002,-0.1,-0.1,K,Financial and insurance activities,66,Activities auxiliary to financial services and insurance activities,0.143356643,3.0,Good Health and Wellbeing,-0.2061965757023544,-0.1829582602885888,-0.1345887614555738,-0.2882465967878406,0.2903888496144322,0.0777635631839657,-0.1157339779054056,0.0888713467445972,-0.0965177291443661,-0.1977700618632051,2,-0.1,1,2084574000.0,1623309000.0,8.800322,6.853027000000001,1.4630044194219064e-05,6.895682697747868,7.29776828253138
